,addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
0,전라남도 곡성군 오곡면 덕양서원길 42,,38,,A03,A0304,A03040300,2554912,28,20180724000023,,,,127.3104671975,35.2636128440,6,20230220134433,3,,곡성기차마을 패러글라이딩,57529
1,충청남도 공주시 의당면 수촌리,943,34,,A03,A0304,A03040200,3038514,28,20231114101228,http://tong.visitkorea.or.kr/cms/resource/08/3038508_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/08/3038508_image3_1.JPG,Type3,127.1257647092,36.5102371763,6,20240425113636,1,,공주 경비행기,32519
2,경상남도 하동군 악양면 개치미동길 186,,36,,A03,A0304,A03040300,2781616,28,20211126195955,http://tong.visitkorea.or.kr/cms/resource/53/2794653_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/2794653_image2_1.jpg,Type3,127.7089745551,35.1251631445,6,20231227134042,18,,구재봉활공장,52308
3,전북특별자치도 군산시 성산면 마동1길 5-22,,37,,A03,A0304,A03040300,3025742,28,20231025154147,http://tong.visitkorea.or.kr/cms/resource/18/3025718_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/18/3025718_image3_1.JPG,Type3,126.7830146046,35.9960539486,6,20240118110739,2,,군산 패러글라이딩 스쿨,54045
4,충청북도 단양군 가곡면 두산길 262,5호실,33,,A03,A0304,A03040300,3074932,28,20231123120217,http://tong.visitkorea.or.kr/cms/resource/28/3074928_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/28/3074928_image3_1.JPG,Type3,128.4006504571,37.0024011100,6,20231226154702,2,,단양 투고 패러글라이딩,27021
5,충청북도 단양군 가곡면 두산길 262,,33,,A03,A0304,A03040300,3074954,28,20231123141156,http://tong.visitkorea.or.kr/cms/resource/47/3074947_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/47/3074947_image3_1.JPG,Type3,128.4006504571,37.0024011100,6,20231226155208,2,,단양 패러 명가,27021
6,충청북도 단양군 가곡면 두산길 196-52,,33,,A03,A0304,A03040300,3089064,28,20231123143112,http://tong.visitkorea.or.kr/cms/resource/83/3088983_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/83/3088983_image3_1.JPG,Type3,128.3969565090,36.9967294703,6,20240125174340,2,,단양 패러글라이딩 패러는 내친구,27021
7,충청북도 단양군 가곡면 두산길 196-91,,33,,A03,A0304,A03040300,2518166,28,20171129191333,http://tong.visitkorea.or.kr/cms/resource/61/2518161_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2518161_image2_1.jpg,Type3,128.3947595726,36.9936742244,6,20240417174057,2,,단양 패러일번지,27021
8,충청북도 단양군 수변로 59-1 롯데게스트하우스,,33,,A03,A0304,A03040300,2368508,28,20160218201318,http://tong.visitkorea.or.kr/cms/resource/04/2014004_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/2014004_image3_1.jpg,Type3,128.3704815621,36.9809280105,6,20230802210600,2,043-421-7331,단양드림레저 패러글라이딩,27011
9,충청북도 단양군 가곡면 두산길 196-54,패러마을,33,,A03,A0304,A03040300,3075037,28,20231123143646,http://tong.visitkorea.or.kr/cms/resource/02/3075002_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/02/3075002_image3_1.JPG,Type3,128.3966232064,36.9966905798,6,20231226161428,2,,단양패러글라이딩,27021
10,충청북도 단양군 가곡면 두산길 196-52,,33,,A03,A0304,A03040300,2586827,28,20190109235006,http://tong.visitkorea.or.kr/cms/resource/87/2586787_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/87/2586787_image2_1.bmp,Type3,128.3969565090,36.9967294703,6,20230614104807,2,,단양패러마을,27021
11,충청북도 단양군 가곡면 두산길 196-88,,33,,A03,A0304,A03040300,3075069,28,20231123144048,http://tong.visitkorea.or.kr/cms/resource/54/3075054_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/54/3075054_image3_1.JPG,Type3,128.3949623153,36.9942491621,6,20240122150605,2,,단양패러에반하다,27021
12,충청남도 보령시 남포면 창동1길 233-25,,34,,A03,A0304,A03040300,1825915,28,20130708195140,http://tong.visitkorea.or.kr/cms/resource/05/3022605_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/3022605_image3_1.jpg,Type3,126.6284507227,36.3139065980,6,20231213141654,5,,대천 국가대표 패러글라이딩,33494
13,충청북도 단양군 가곡면 두산길 254-6,,33,,A03,A0304,A03040300,3104431,28,20240222154348,http://tong.visitkorea.or.kr/cms/resource/25/3104425_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/3104425_image3_1.jpg,Type3,128.4008449039,37.0017234141,6,20240226135606,2,,더쎈패러글라이딩,27021
14,경상북도 문경시 문경읍 활공장길 80,(문경읍),35,,A03,A0304,A03040300,131641,28,20031208090000,,,,128.1538441059,36.7362992625,6,20231211150838,7,,문경활공랜드,36912
15,충청남도 부여군 부여읍 성왕로173번길 12,,34,,A03,A0304,A03040400,2783101,28,20211130005245,http://tong.visitkorea.or.kr/cms/resource/79/2794079_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/2794079_image2_1.jpg,Type3,126.9075709630,36.2815401261,6,20240422182116,6,,부여하늘날기,33141
16,경상남도 남해군 창선면 서부로 845-9,,36,,A03,A0304,A03040300,3060331,28,20231127145300,http://tong.visitkorea.or.kr/cms/resource/18/3049318_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/18/3049318_image3_1.JPG,Type3,127.9806209336,34.8816174771,6,20231206100728,5,,블랙이글패러글라이딩,52451
17,전북특별자치도 군산시 선유북길 136 공중하강체험시설,,37,,A03,A0304,A03040100,2606125,28,20190612222226,http://tong.visitkorea.or.kr/cms/resource/96/2368896_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2368896_image3_1.jpg,Type3,126.4089443822,35.8144933151,6,20240118111204,2,,선유 스카이썬라인,54000
