,addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
0,경상북도 안동시 하회남촌길 69-5,,35,,B02,B0201,B02011600,2465071,32,20161220190700,http://tong.visitkorea.or.kr/cms/resource/00/2626200_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2626200_image3_1.jpg,Type3,128.5175868107,36.5376537450,6,20230413082505,11,054-855-8552,가경재 [한국관광 품질인증/Korea Quality],36760
1,서울특별시 송파구 송파대로28길 5,(가락동),1,,B02,B0201,B02010100,142785,32,20040426090000,,,,127.1166298703,37.4966565128,6,20231227134640,18,02-400-6641~3,가락관광호텔,05719
2,전북특별자치도 전주시 완산구 한지길 68,(풍남동3가),37,,B02,B0201,B02011600,2671267,32,20200908224549,,,,127.1535667664,35.8173223769,,20240118105019,12,,가락청,55041
3,경기도 파주시 소라지로327번길 126-21,(송촌동),31,,B02,B0201,B02011600,2627867,32,20191021220426,,,,126.6891949040,37.7547493903,,20201224014445,27,,가람나무,10863
4,경상북도 안동시 풍천면 하회종가길 76-6,(풍천면),35,,B02,B0201,B02011600,1865597,32,20131202181422,http://tong.visitkorea.or.kr/cms/resource/48/2993048_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/2993048_image3_1.jpg,Type1,128.5163479914,36.5390674494,6,20230901161045,11,010-3849-7542,가람초연재[한국관광 품질인증/Korea Quality],36760
5,제주특별자치도 서귀포시 법환하로9번길 10,,39,,B02,B0201,B02010700,1896032,32,20140219003733,,,,126.5123383804,33.2365870334,6,20230601145334,3,064-739-4499,가름게스트하우스,63573
6,강원특별자치도 인제군 인제읍 대목리길 137,,32,,B02,B0201,B02010700,2571998,32,20181201005923,http://tong.visitkorea.or.kr/cms/resource/37/2571137_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/37/2571137_image2_1.jpeg,Type3,128.3383767680,38.0731872541,,20230702184958,10,033-463-1212,가리벨리 관광펜션(가리벨리관광펜션휴양타운),24643
7,강원특별자치도 정선군 정선읍 청량길 32,,32,,B02,B0201,B02010700,582215,32,20080702182139,http://tong.visitkorea.or.kr/cms/resource/09/582509_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/582509_image3_1.jpg,Type3,128.5773915547,37.4241170266,6,20230702183635,11,033-562-1665,가리왕산이야기 펜션,26119
8,경기도 구리시 안골로 70,,31,,B02,B0201,B02010900,1781984,32,20130117230401,,,,127.1388777598,37.5972257905,6,20231017153127,6,031-563-0444,가바나모텔,11933
9,경기도 평택시 평택5로76번길 18-10,,31,,B02,B0201,B02010100,143017,32,20030806090000,http://tong.visitkorea.or.kr/cms/resource/83/1942883_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/1942883_image3_1.jpg,Type3,127.1128582139,36.9932008224,6,20231025133555,28,0507-1396-7702,가보호텔,17885
10,경상남도 하동군 화개로 13,,36,,B02,B0201,B02010900,2950408,32,20230217152211,http://tong.visitkorea.or.kr/cms/resource/67/3009367_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/3009367_image3_1.jpg,Type1,127.6231054334,35.1897988120,6,20230912142129,18,010-3889-6663,가비원모텔[한국관광 품질인증/Korea Quality],52303
11,경기도 양평군 용문면 용문산로 337,,31,,B02,B0201,B02010700,942523,32,20100202215734,http://tong.visitkorea.or.kr/cms/resource/30/1893430_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/1893430_image3_1.jpg,Type3,127.6019460659,37.5258897391,6,20230906160453,19,031-771-5180,가시버시펜션,12510
12,경상북도 성주군 수륜면 가야산식물원길 52,,35,,B02,B0201,B02010100,136485,32,20030612090000,,,,128.1426627919,35.8030359683,6,20231010131055,10,054-931-3500,가야호텔,40063
13,충청북도 청주시 청원구 오창읍 미래지로 71-54,,33,,B02,B0201,B02011600,2707444,32,20210227005520,http://tong.visitkorea.or.kr/cms/resource/14/3067814_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/3067814_image3_1.jpg,Type1,127.4055417589,36.7351218825,,20231219093240,10,043-233-9966,가영당 [한국관광 품질인증/Korea Quality],28105
14,전북특별자치도 전주시 완산구 한지길 68-13,(풍남동3가),37,,B02,B0201,B02011600,2593271,32,20190325231742,http://tong.visitkorea.or.kr/cms/resource/60/2593460_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/60/2593460_image2_1.JPG,Type3,127.1532917977,35.8170640681,,20240118102524,12,010-6345-5267,가은채 [한국관광 품질인증/Korea Quality],55041
15,전북특별자치도 전주시 완산구 한지길 100-20,,37,,B02,B0201,B02011600,2593272,32,202401181743,http://tong.visitkorea.or.kr/cms/resource/66/2593466_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/66/2593466_image2_1.JPG,Type3,127.1535195942,35.8155697973,6,20240118174312,12,010-6345-5267,가은채2 [한국관광 품질인증/Korea Quality],55041
16,강원특별자치도 평창군 봉평면 흥정계곡길 72,,32,,B02,B0201,B02010700,2376711,32,20160406222558,http://tong.visitkorea.or.kr/cms/resource/93/2376693_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/93/2376693_image2_1.JPG,Type3,128.3519002081,37.6272975840,6,20230702181506,15,010-5213-3200,가을동화펜션,25300
17,강원특별자치도 평창군 봉평면 흥정계곡4길 212-27,,32,,B02,B0201,B02010700,2708335,32,20210309011514,http://tong.visitkorea.or.kr/cms/resource/06/2707806_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2707806_image3_1.jpg,Type3,128.3109751158,37.6609429108,,20231222094220,15,033-336-3357,가재와곰펜션 [한국관광 품질인증/Korea Quality],25300
18,경상남도 남해군 삼동면 죽방로 495,,36,,B02,B0201,B02010700,1351349,32,20110805005937,,,,127.9675765215,34.8169300517,6,20230524170059,5,055-867-4892,가족사랑바다체험펜션,52443
19,경상남도 남해군 남면 홍현리 남면로 679번길 21,,36,0,B02,B0201,B02011000,127778,12,20040129090000,http://tong.visitkorea.or.kr/cms/resource/96/2703896_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2703896_image2_1.jpg,Type3,127.8943963083,34.7279803963,6,20240423195642,5,,가천 다랭이마을,"668-861,21"
20,경기도 가평군 북면 꽃넘이길 115-82,가둘기정원,,,B02,B0201,B02010700,3102216,32,20240217153116,,,,127.5163456797,37.9003946501,6,20240329144218,,0507-1331-2961,가평 가둘기정원 키즈풀빌라 가족 스파 온수수영장 펜션,12405
21,경기도 가평군 북면 가화로 2369-19,,31,,B02,B0201,B02010900,1979670,32,20141226184946,http://tong.visitkorea.or.kr/cms/resource/37/1979637_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/37/1979637_image2_1.JPG,Type3,127.4766116592,37.9524878464,6,20230824113015,1,031-581-2256~7,가평 하이랜드,12401
22,경기도 가평군 가화로 1364-59,,31,,B02,B0201,B02010700,2814152,32,20220318103837,http://tong.visitkorea.or.kr/cms/resource/11/2811411_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2811411_image2_1.jpg,Type3,127.5134792182,37.9023138180,6,20230601113138,1,,가평미라몬티풀빌라펜션[한국관광 품질인증/Korea Quality],12405
23,전라남도 해남군 송지면 땅끝마을길 82,,38,0,B02,B0201,B02011000,129024,12,20060621090000,http://tong.visitkorea.or.kr/cms/resource/36/3061236_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/3061236_image3_1.jpg,Type3,126.5285847288,34.2998052878,6,20240424091818,23,,갈두마을(땅끝마을),59065
24,경상남도 고성군 고성읍 이당5길 149-21,,36,,B02,B0201,B02010700,2579457,32,20181218194310,,,,128.2677822725,34.9758092205,6,20231215172454,3,010-2779-2212,갈모봉 힐링스테이,52933
25,강원특별자치도 영월군 영월읍 선돌길 83-9,,32,,B02,B0201,B02010700,1122064,32,20101103220629,http://tong.visitkorea.or.kr/cms/resource/27/1948427_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/1948427_image3_1.jpg,Type3,128.4347977723,37.1788536889,6,20230919145627,8,033-373-1139,강가에 하얀집 펜션,26226
26,강원특별자치도 홍천군 북방면 굴지강변로 281,,32,,B02,B0201,B02010700,940259,32,20100128000815,http://tong.visitkorea.or.kr/cms/resource/68/1849368_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/1849368_image3_1.jpg,Type3,127.7832358849,37.6915933201,6,20231031133613,16,033-433-8309,강가의성,25116
27,강원특별자치도 정선군 북평면 졸드루길 31-57,,32,,B02,B0201,B02010700,2398168,32,20160809225223,http://tong.visitkorea.or.kr/cms/resource/17/2579017_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/2579017_image3_1.jpg,Type3,128.6366687230,37.4518927338,6,20230702185437,11,010-3757-1147,강과 소나무[한국관광 품질인증/Korea Quality],26100
28,경상남도 통영시 동충4길 56,,36,,B02,B0201,B02011100,2575011,32,20181207220915,,,,128.4241610409,34.8418797816,6,20231226164257,17,010-9287-8001,강구안게스트하우스,53054
29,서울특별시 강남구 테헤란로13길 65,"(역삼동)1, 2층",1,,B02,B0201,B02011100,2574118,32,20181206010516,http://tong.visitkorea.or.kr/cms/resource/28/2573328_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/2573328_image2_1.jpg,Type3,127.0301236613,37.5034291706,,20191014191736,1,010-2746-7882,강남스테이힐(Gangnam Stay Hill),06127
30,서울특별시 서초구 서초대로74길 49,(서초동)강남아르누보씨티호텔,,,B02,B0201,B02010100,2650614,32,20200328004421,http://tong.visitkorea.or.kr/cms/resource/94/2650594_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/2650594_image2_1.jpg,Type3,127.0282157821,37.4934858463,,20231101140131,,02-580-7300/7400,강남아르누보씨티호텔,06626
31,서울특별시 강남구 봉은사로 143 (논현동),,1,,B02,B0201,B02010100,3079947,32,20240110140842,,,,127.0302068992,37.5065288121,6,20240123100914,1,,강남패밀리호텔,06122
32,전북특별자치도 전주시 완산구 태조로 26-24,(풍남동3가),37,,B02,B0201,B02011600,2570638,32,202401181743,http://tong.visitkorea.or.kr/cms/resource/83/2568683_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/83/2568683_image2_1.JPG,Type3,127.1519253061,35.8150087222,,20240118174312,12,,강령전,55042
33,강원특별자치도 강릉시 해안로621번길 12 (안현동),,32,,B02,B0201,B02010700,2913612,32,20221107190841,http://tong.visitkorea.or.kr/cms/resource/01/2920201_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2920201_image3_1.jpg,Type3,128.8980175220,37.8118978545,6,20240422200722,1,,강릉 로뎀나무 펜션,25459
34,강원특별자치도 강릉시 교동광장로100번길 19,,32,,B02,B0201,B02010100,2903046,32,20221109140310,http://tong.visitkorea.or.kr/cms/resource/10/2950310_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/2950310_image3_1.jpg,Type1,128.8762486624,37.7666443332,6,20230702184031,1,033-645-5511,강릉 부띠끄호텔 봄봄[한국관광 품질인증/Korea Quality],25512
35,강원특별자치도 강릉시 칠성로711번길 18-4 (노암동),스테이인옥,,,B02,B0201,B02011600,3102100,32,20240217124308,,,,128.9052882429,37.7495218794,6,20240329150406,,010-6378-7008,강릉 스테이인옥,25589
36,강원특별자치도 강릉시 사천면 해안로 904-22,,32,,B02,B0201,B02011000,2626916,32,20191018183952,,,,128.8758521976,37.8330588607,,20230702184335,1,010-3348-4912,강릉 지중해펜션,25440
37,강원특별자치도 강릉시 용지각길 19,(포남동),32,,B02,B0201,B02010900,2398102,32,20160809192447,http://tong.visitkorea.or.kr/cms/resource/87/3044687_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/3044687_image3_1.jpg,Type1,128.9056239515,37.7615677151,6,20231207154307,1,010-5919-0050,강릉ing게스트하우스[한국관광 품질인증/Korea Quality],25548
38,강원특별자치도 강릉시 경강로2103번길 17,(임당동),32,,B02,B0201,B02011100,2038173,32,20151105191608,http://tong.visitkorea.or.kr/cms/resource/07/2684307_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2684307_image3_1.jpg,Type3,128.8954528054,37.7564042254,6,20230702184342,1,010-9299-7199,강릉게스트하우스 중앙점[한국관광 품질인증/Korea Quality],25532
39,강원특별자치도 강릉시 운정길 63 선교장,,32,,B02,B0201,B02011600,1989501,32,20150226011900,http://tong.visitkorea.or.kr/cms/resource/25/2578925_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/2578925_image3_1.jpg,Type3,128.8848528574,37.7855756438,6,20230702183429,1,033-648-5311,강릉선교장[한국관광 품질인증/Korea Quality],25464
40,강원특별자치도 강릉시 죽헌길 114,"(죽헌동) 114,116",32,,B02,B0201,B02011600,2531222,32,20180111220743,http://tong.visitkorea.or.kr/cms/resource/56/3067856_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/3067856_image3_1.jpg,Type1,128.8795480296,37.7775042522,6,20231219094550,1,033-655-1117,강릉오죽한옥마을[한국관광 품질인증/Korea Quality],25465
41,강원특별자치도 인제군 인제읍 내린천로 5384,,32,,B02,B0201,B02010700,138547,32,20050706090000,http://tong.visitkorea.or.kr/cms/resource/28/1843128_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/1843128_image3_1.jpg,Type3,128.2720847253,38.0100072208,6,20230702113142,10,033-462-0629,강변에서 황토콘도,24642
42,강원특별자치도 홍천군 북방면 노일로310번길 15,,32,,B02,B0201,B02010700,678537,32,20090113204631,http://tong.visitkorea.or.kr/cms/resource/73/680173_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/680173_image3_1.jpg,Type3,127.7311991032,37.6861096552,6,20230702112303,16,010-2679-3536,강변의수채화 펜션,25111
43,강원특별자치도 평창군 봉평면 흥정계곡1길 23,(흥정리),32,,B02,B0201,B02010700,2760767,32,20211021220931,http://tong.visitkorea.or.kr/cms/resource/34/2801534_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/34/2801534_image2_1.JPG,Type3,128.3483697556,37.6344716865,6,20230702184753,15,,강애산애펜션,25300
44,경상북도 문경시 마성면 구랑로 333,,35,,B02,B0201,B02010700,2568981,32,20181123001731,http://tong.visitkorea.or.kr/cms/resource/46/2566846_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2566846_image2_1.jpg,Type3,128.1204936198,36.6628987224,,20190902194944,7,010-5287-3375,강이 있는 풍경 (강이 있는 풍경 펜션),36923
