,Unnamed: 0_x,name,혼자,액티비티,자연,힐링,Unnamed: 0_y,addr1,cat1,cat2,cat3,힐링_int,혼자_int,자연_int,액티비티_int,province,city
0,0,공주 경비행기,0.520756463209788,0.6138392157024808,0.6262853013144599,0.6509589023060269,0,충청남도 공주시 의당면 수촌리,A03,A0304,A03040200,0,0,1,0,충청남도,공주시
1,1,군산 패러글라이딩 스쿨,0.5839692294597626,0.7101678669452667,0.6749635398387909,0.6567823767662049,1,전북특별자치도 군산시 성산면 마동1길 5-22,A03,A0304,A03040300,0,0,0,1,전북특별자치도,군산시
2,2,단양 패러 명가,0.570966151356697,0.7055462419986724,0.6619912445545196,0.630407041311264,2,충청북도 단양군 가곡면 두산길 262,A03,A0304,A03040300,0,0,1,0,충청북도,단양군
3,3,단양 패러글라이딩 패러는 내친구,0.6123589873313904,0.6384519934654236,0.7370209097862244,0.8674167394638062,3,충청북도 단양군 가곡면 두산길 196-52,A03,A0304,A03040300,0,0,0,0,충청북도,단양군
4,4,단양 패러일번지,0.5416896730661392,0.680677855014801,0.6387063026428222,0.6107921183109284,4,충청북도 단양군 가곡면 두산길 196-91,A03,A0304,A03040300,0,0,0,1,충청북도,단양군
5,5,단양드림레저 패러글라이딩,0.586179381608963,0.7237938821315766,0.70333531498909,0.6456268072128296,5,충청북도 단양군 수변로 59-1 롯데게스트하우스,A03,A0304,A03040300,0,0,0,1,충청북도,단양군
6,6,단양패러에반하다,0.5659253060817718,0.702705466747284,0.6532638967037201,0.5995487630367279,6,충청북도 단양군 가곡면 두산길 196-88,A03,A0304,A03040300,0,0,1,1,충청북도,단양군
7,7,대천 국가대표 패러글라이딩,0.5475788354873657,0.6833690881729126,0.641242778301239,0.6287561804056168,7,충청남도 보령시 남포면 창동1길 233-25,A03,A0304,A03040300,0,0,0,1,충청남도,보령시
8,8,선유 스카이썬라인,0.5472993880510331,0.680979585647583,0.6565907776355744,0.6294070839881897,8,전북특별자치도 군산시 선유북길 136 공중하강체험시설,A03,A0304,A03040100,0,0,1,1,전북특별자치도,군산시
9,9,스카이다이브코리아,0.5622901856899262,0.6838723421096802,0.6534956872463227,0.6024383008480072,9,충청북도 충주시 단암길 19-1,A03,A0304,A03040100,0,0,1,0,충청북도,충주시
10,10,양평 미래항공스포츠,0.5498785167932511,0.699949997663498,0.6512269854545594,0.5875802636146545,10,경기도 양평군 옥천면 동막길 49,A03,A0304,A03040300,0,1,1,1,경기도,양평군
11,11,에어 피닉스,0.5039140731096268,0.6288219392299652,0.5810942053794861,0.5236506909132004,11,전북특별자치도 완주군 구이면 덕천리,A03,A0304,A03040300,0,0,1,0,전북특별자치도,완주군
12,12,여수국가대표패러글라이딩,0.5547868549823761,0.6927644222974777,0.6428217947483063,0.6040464997291565,12,전라남도 여수시 망양로 225,A03,A0304,A03040300,1,0,1,1,전라남도,여수시
13,13,조나단 패러글라이딩 스쿨,0.5689013659954071,0.6999464213848114,0.6708346605300903,0.6250600218772888,13,강원특별자치도 평창군 평창읍 노람들길 209-5,A03,A0304,A03040300,0,1,1,1,강원특별자치도,평창군
14,14,짱 패러글라이딩,0.5583118796348572,0.6915048062801361,0.6784866988658905,0.6250826239585876,14,충청북도 단양군 가곡면 두산길 262,A03,A0304,A03040300,0,0,1,1,충청북도,단양군
15,15,청춘 패러,0.574375432729721,0.714144104719162,0.6700316309928894,0.6158064067363739,15,충청북도 단양군 가곡면 두산길 262,A03,A0304,A03040300,0,0,0,1,충청북도,단양군
16,16,케이원항공경비행기조종체험비행,0.5134838581085205,0.577257364988327,0.5733939200639725,0.5511995524168014,16,전북특별자치도 남원시 식정동,A03,A0304,A03040200,0,0,1,0,전북특별자치도,남원시
17,17,패러이야기,0.5417340189218521,0.6935448408126831,0.6472835958003997,0.6045699000358582,17,충청북도 단양군 가곡면 두산길 196-86,A03,A0304,A03040300,0,0,0,1,충청북도,단양군
18,18,합천패러글라이딩파크,0.6160424947738647,0.6661919951438904,0.7182778318723043,0.7925944526990255,18,경상남도 합천군 초계면 우회로 179,A03,A0304,A03040300,0,0,1,0,경상남도,합천군
