,name,addr1,cat1,cat2,cat3,힐링_int,혼자_int,자연_int,액티비티_int,province,city
0,공주 경비행기,충청남도 공주시 의당면 수촌리,A03,A0304,A03040200,0,0,1,0,충청남도,공주시
1,군산 패러글라이딩 스쿨,전북특별자치도 군산시 성산면 마동1길 5-22,A03,A0304,A03040300,0,0,0,1,전북특별자치도,군산시
2,단양 패러 명가,충청북도 단양군 가곡면 두산길 262,A03,A0304,A03040300,0,0,1,0,충청북도,단양군
3,단양 패러글라이딩 패러는 내친구,충청북도 단양군 가곡면 두산길 196-52,A03,A0304,A03040300,0,0,0,0,충청북도,단양군
4,단양 패러일번지,충청북도 단양군 가곡면 두산길 196-91,A03,A0304,A03040300,0,0,0,1,충청북도,단양군
5,단양드림레저 패러글라이딩,충청북도 단양군 수변로 59-1 롯데게스트하우스,A03,A0304,A03040300,0,0,0,1,충청북도,단양군
6,단양패러에반하다,충청북도 단양군 가곡면 두산길 196-88,A03,A0304,A03040300,0,0,1,1,충청북도,단양군
7,대천 국가대표 패러글라이딩,충청남도 보령시 남포면 창동1길 233-25,A03,A0304,A03040300,0,0,0,1,충청남도,보령시
8,선유 스카이썬라인,전북특별자치도 군산시 선유북길 136 공중하강체험시설,A03,A0304,A03040100,0,0,1,1,전북특별자치도,군산시
9,스카이다이브코리아,충청북도 충주시 단암길 19-1,A03,A0304,A03040100,0,0,1,0,충청북도,충주시
10,양평 미래항공스포츠,경기도 양평군 옥천면 동막길 49,A03,A0304,A03040300,0,1,1,1,경기도,양평군
11,에어 피닉스,전북특별자치도 완주군 구이면 덕천리,A03,A0304,A03040300,0,0,1,0,전북특별자치도,완주군
12,여수국가대표패러글라이딩,전라남도 여수시 망양로 225,A03,A0304,A03040300,1,0,1,1,전라남도,여수시
13,조나단 패러글라이딩 스쿨,강원특별자치도 평창군 평창읍 노람들길 209-5,A03,A0304,A03040300,0,1,1,1,강원특별자치도,평창군
14,짱 패러글라이딩,충청북도 단양군 가곡면 두산길 262,A03,A0304,A03040300,0,0,1,1,충청북도,단양군
15,청춘 패러,충청북도 단양군 가곡면 두산길 262,A03,A0304,A03040300,0,0,0,1,충청북도,단양군
16,케이원항공경비행기조종체험비행,전북특별자치도 남원시 식정동,A03,A0304,A03040200,0,0,1,0,전북특별자치도,남원시
17,패러이야기,충청북도 단양군 가곡면 두산길 196-86,A03,A0304,A03040300,0,0,0,1,충청북도,단양군
18,합천패러글라이딩파크,경상남도 합천군 초계면 우회로 179,A03,A0304,A03040300,0,0,1,0,경상남도,합천군
