,name,addr1,cat1,cat2,cat3,힐링_int,혼자_int,자연_int,액티비티_int,province,city
0,12월의왈츠펜션,강원특별자치도 평창군 대관령면 차항길 162-34,B02,B0201,B02010700,0,0,0,1,강원특별자치도,평창군
1,133파티룸 한옥스테이점,경기도 수원시 팔달구 정조로795번길 10 (팔달로2가),B02,B0201,B02011600,0,0,0,1,경기도,수원시
2,24게스트하우스 경희대점,"18, Hoegi-ro 29-gil, Dongdaemun-gu, Seoul",B02,B0201,B02011100,0,0,0,0,"18,",Hoegi-ro
3,24게스트하우스 서울역점,서울특별시 용산구 후암로57길 41,B02,B0201,B02010900,0,0,0,0,서울특별시,용산구
4,2월 호텔 더시그니처 동성로점,대구광역시 중구 동일동,B02,B0201,B02010100,0,0,0,1,대구광역시,중구
5,B-STAY 부천호텔,경기도 부천시 길주로 131,B02,B0201,B02010100,0,0,0,0,경기도,부천시
6,BK호텔제주,제주특별자치도 서귀포시 칠십리로91번길 12 (서귀동),B02,B0201,B02010100,0,0,1,0,제주특별자치도,서귀포시
7,Dune45호텔,경기도 수원시 팔달구 권광로175번길 31-4,B02,B0201,B02010900,0,0,0,0,경기도,수원시
8,H호텔 세종시티,충청북도 청주시 흥덕구 오송생명로 178,B02,B0201,B02010100,0,0,1,0,충청북도,청주시
9,K-그랜드 호스텔 강남 1(K-GRAND HOSTEL GANGNAM1),서울특별시 강남구 강남대로112길 11,B02,B0201,B02011100,0,0,0,0,서울특별시,강남구
10,MJ리조트,제주특별자치도 제주시 구좌읍 해맞이해안로 1651,B02,B0201,B02010500,1,0,1,1,제주특별자치도,제주시
11,Nu Motel(엔유모텔),서울특별시 송파구 올림픽로10길 8,B02,B0201,B02010900,0,0,1,0,서울특별시,송파구
12,SL호텔 강릉,강원특별자치도 강릉시 주문진읍 주문로 59,B02,B0201,B02010100,0,0,0,0,강원특별자치도,강릉시
13,V온천모텔,울산광역시 울주군 상북면 알프스온천2길 10,B02,B0201,B02010900,0,0,1,0,울산광역시,울주군
14,pine view,경기도 수원시 영통구 동수원로 432,B02,B0201,B02011100,1,0,1,1,경기도,수원시
15,갈모봉 힐링스테이,경상남도 고성군 고성읍 이당5길 149-21,B02,B0201,B02010700,0,0,1,0,경상남도,고성군
16,강가의성,강원특별자치도 홍천군 북방면 굴지강변로 281,B02,B0201,B02010700,0,0,1,0,강원특별자치도,홍천군
17,강릉 지중해펜션,강원특별자치도 강릉시 사천면 해안로 904-22,B02,B0201,B02011000,0,0,0,1,강원특별자치도,강릉시
18,게스트하우스 리좀,경상남도 창원시 마산합포구 동서북14길 24,B02,B0201,B02011100,0,0,0,0,경상남도,창원시
