,cat3,dummy,subcategory
6,A05020100,242,한식
11,A05020900,67,카페/전통찻집
19,A02030100,27,농.산.어촌 체험
38,A03021700,25,"야영장,오토캠핑장"
21,A02030400,15,이색체험
41,A03022700,15,트래킹
3,B02010700,13,펜션
7,A05020200,13,서양식
23,A02060100,12,박물관
9,A05020400,10,중식
25,A02060300,10,전시관
16,A02020600,9,테마공원
46,A03040300,9,헹글라이딩/패러글라이딩
17,A02020700,9,공원
8,A05020300,8,일식
0,B02010100,6,관광호텔
13,A02020300,6,온천/욕장/스파
4,B02010900,6,모텔
43,A03030500,4,민물낚시
48,A04010200,4,상설시장
50,A04010700,4,공예/공방
12,A02020200,4,관광단지
42,A03030100,3,윈드서핑/제트스키
40,A03022600,3,스키(보드) 렌탈샵
39,A03022100,3,ATV
26,A02060500,3,미술관/화랑
51,A04011000,3,사후면세점
5,B02011600,3,한옥
14,A02020400,2,이색찜질방
28,A02060900,2,도서관
29,A02061000,2,대형서점
2,B02010600,2,유스호스텔
49,A04010600,2,전문매장/상가
33,A03020600,2,카트
35,A03021100,2,승마
36,A03021400,2,썰매장
10,A05020700,2,이색음식점
24,A02060200,2,기념관
20,A02030200,2,전통체험
44,A03030600,2,바다낚시
47,A03050100,1,복합 레포츠
45,A03040200,1,초경량비행
1,B02010500,1,콘도미니엄
15,A02020500,1,헬스투어
18,A02020800,1,유람선/잠수함관광
27,A02060600,1,공연장
37,A03021600,1,사격장
34,A03020700,1,골프
32,A03020300,1,경기장
31,A02061400,1,학교
30,A02061200,1,영화관
22,A02030600,1,이색거리
