,name,rate,review
0,갈모봉 힐링스테이,,굿
1,갈모봉 힐링스테이,,굿
2,갈모봉 힐링스테이,,만족합니다..
3,갈모봉 힐링스테이,,굿
4,갈모봉 힐링스테이,, 나무도마 종류가 많아요~
5,갈모봉 힐링스테이,,
6,강가의성,,"홍천 꽁꽁축제 때문에 홍천에 펜션을 잡았는데 친절하시고 객실이  너무 깨끗하네요

앞에 강에 얼음이 얼어 썰매도 타보고~
여름에 다시 와봐야겠어요"
7,강릉 지중해펜션,,"친구들, 아이들과 함께 너무나 안전하고 즐거운 여행이었습니다 다음에 또 방문할 때 연락 드리겠습니다 건강 유의하세요"
8,게스트하우스 리좀,,게스트하우스가 있을 것 같지 않은 골목에 있었어요. 4층인데 엘레베이터가 없는 건물이니 짐이 많은 분은 참고하시면 좋을 것 같습니다. 저는 1인실을 사용했는데 위치가 당황스러운게 주방 안에 여닫이문으로 작게 있고 아침 저녁으로 밖에서 떠들고 술마시는 사람이 있으면 방음이 되지 않아 조용히 쉬고 싶으신 분은 피하시는게 좋겠습니다. 화장실은 하나인데 여러명이 함께 써야하므로 일찍 씻으시는게 좋으실 것 같아요. 이용하시는 분 참고하세요~~
9,게스트하우스 리좀,,"생각보다 훨씬 가정집 분위기라서 약간 놀랐어요
화장실은 공용으로 쓰셔야되는데 
샤워실이 따로있는게 아니고
집 화장실처럼 되어있어서 씻으려고 좀 오래기다렸어요
방은 따뜻하고 좋았어요
바닥에 보일러도 틀어져있고 전기장판도 있어요
1인실 방이 베란다 미닫이문처럼 생겨서 처음에 문을 못잠그나; 하고 당황했는데
잠굴수는 있더라고요ㅎ..
자유롭게 요리해드실수있는게 장점이에요
(물론 전 안햇지만)
다만 1인실 방 바로 앞이 주방이라서 방음은 ...
집같은 분위기라서 가족 친척 단체로 놀러오시면 편하게 있다 가실 것 같아요"
10,게스트하우스 리좀,,아늑하고 깔끔했어요 위치도 좋고 친절하시고 대만족하고 갑니다
11,게스트하우스 리좀,,"내부 인테리어가 개성있습니다.
상상실 중간에 숙소가 있어 맛집찾기, 다른 곳으로 이동이 편리합니다.
아랫층 영화관과 카페에 들려보는 것도 좋습니다. 아마 마산에서 가장 힙한 공간 아닌가 싶습니다."
12,게스트하우스 리좀,,지역에 씨네아트리좀같은 예술영화관이 있어줘서 정말 감사합니다.
13,게스트하우스 리좀,,"창동 영화관
시네아트리좀 추천합니다"
14,게스트하우스 리좀,,푹 잘 쉬었습니다.
15,경기전 연가,,"방이 1인 기준이여서 방문해서 추가금 드렸습니다. 제대로 안읽고 갔나봐요..ㅎㅎ 한옥이라서 방음은 잘 안되는데 옆방에 시끄러운 사람은 없어서 잘 묵었습니다. 경기전이랑도 가깝고 먹거리 골목이랑도 가까워서 다니기 좋았어요. 사장님 너무 친절했습니다!
방은 생각보다 좀 좁아요 근데 하루 묵기에는 나쁘지않고 화장실도 깨끗해요. 방문도 이중이라서 신기했습니다. 나름 보안에 신경쓰신거같았어요. 다음번에 또 방문할께요!"
16,경기전 연가,,"🌙 달빛 2박 2인
😁장점
숙소 주변 조용함
메인거리 도보로 5-10분
창문이 있어 환기가능, 방문 이중
방 따뜻하고 매트리스가 푹신해서 잠잘때 허리가 안 아픔👍🏻
사장님 통해서 주차티켓 싸게 구매하고 공용주차장에 편하게 주차했음
사장님 정말정말 친절하심👍🏻👍🏻
전주에 다시 간다면 재방문 의사 있음👍🏻👍🏻👍🏻

🥹단점
화장실 환기가 안돼 많이 습함
그리고 같이 숙박하는 다른팀 운도 따라야함ㅜ...
(두팀이 일행인듯 우리방 앞방에 모여 밤 12시반 넘어서까지 술잔치를 벌임...😭)"
17,경기전 연가,,사장님이 너무 친절하시네요. 아침 토스트와 커피 좋았어요.
18,경기전 연가,,너무 친절하셨어요! 잘 놀다 갑니다!!
19,경기전 연가,,"한옥마을쪽을 생각하다 여기저기 볼거리를 찾다보니 여기가 딱이다싶어 빠르게 예약~
사장님이 넘나 친절하셔서  더편하게 지내고왔습니다
볼거리 즐길거리에 중심에 있어 도보로 쉽게 이동할수있어서  전주에서 1박을한다면 경기전연가 적극추천합니다"
20,경기전 연가,,"밤 늦게 도착한 경기전 숙소. 친절한 사장님이 주차까지 신경써 주시고, 목요일 밤이라 빈방이 있어서 무료 업그레이드도 해주셨다. 아기가 있어서 꽃무늬 인견이불도 하나 더 챙겨주시고, 밤에 불편할까봐 예쁜 꽃이 든 등도 주셨다. 깨끗하고 조용하고 한옥마을, 경기전, 전동성당 모두 너무 가까운 좋은 숙소! 감사합니다~"
21,경기전 연가,,"한옥마을 바로 옆이라 좋았고 편했어요 둘이서 자도
강추합니다"
22,경기전 연가,,사장님이 너무 친절하시구 방두 너무 깨끗하고 침구류도 편하고 곳곳에 사장님이 신경쓰신 티가 나요! 너무 좋았어요 다음에도 꼭 방문 하고싶어요 오래오래 영업 해주세요☹😀🙏
23,경기전 연가,,깨끗하고 방도 따뜻하니 좋았습니다!마당도아기자기 귀여웠어요.사장님도 친절하시고 다음에 또 방문하고 싶은 숙소입니다!
24,경주 교동한옥집,,"제 개인적인 후기로는 최악이었습니다
큰 돈을 주고 한옥 펜션독채로 예약했는데 객관적으로 언급하자면,
1.청결도 심각
주방에 거미줄이 있을 정도로 매우 불청결합니다.
화장실도 마찬가지 거미줄.. (사진 참고)
바닥은 끈적끈적하고 물 컵은 더러워서 새로 소독 다했어요
2.냉장고는 고정이 안되어 사용 할 때마다 덜컹거렸어요.
3.추움. 저녁에 보일러 키려고 연락하였으나 휴대폰을 꺼 놓아서 애를 먹었습니다ㅜㅜ 겨울엔 비추 드립니다!

sns로 혹해서 예약했는데 사진과 달라서 너무 실망했어요. 고객 응대 서비스 또한 너무  불만족 스럽네요. 후기가 거의 없는 걸 보고 시도하지 말았어야 했는데 기분 좋게 놀러 와서 최악을 경험하고 갑니다..."
25,경주 교동한옥집,,한옥 너무 멋지고 조용히 푹 쉬다 왔어요:) 사장님 너무 친절하세요!ㅋㅋ
26,경주 교동한옥집,,"사장님 친절하시고 조식도 맛있었어요 여자둘이라 너무많아서 아쉽게도 다못먹었네요 ㅠ
그리고 진짜 조용해서 집처럼 좋았어요~"
27,경주황룡유스호스텔,,사장님 정말 친절하시고 경주관광추천도 잘해주세요~^^ 방도 따뜻하네요 다음에도 올께요~
28,경주황룡유스호스텔,,
29,경주황룡유스호스텔,,방 안 청소가 조금 안돼 있었어요 머리카락 이런 게 있어서 청소하고 잤습니다
30,경주황룡유스호스텔,,좋아요
31,경포우성펜션,,경포 해변과 가깝고 사장님도 너무 친절하십니다 !! 강추!!
32,경포우성펜션,,"화장실이 깨끗하고 넓어서 좋았어요
다만 에어컨이 너무 오래된거라 많이 시원하지 않았어요 방충망도 구멍난곳이 많아서 창문을 못열었던게 아쉬워요"
33,경포우성펜션,,"복층에도 에어컨이 있어서 습하지 않게 잘 지냈습니다
숯불을 2층 테라스 앞에 설치해주셔서
밖에서 고기굽고 안에서 먹었습니다
방에서 술먹고 산책겸 경포해변까지 걸어갈 수 있습니다
가까운 곳에 아파트 앞 gs25 편의점이 있습니다
여러모로 가격대비 좋았습니다
방 안에서는 고기를 구워먹을 수 없습니다
하이라이터 하나로 부족하면 버너도 제공해주십니다 (가스는 개별구입)"
34,경포우성펜션,,"사장님 친절하시고 가성비 대비 만족스러웠어요. 지어진지는 오래된 거 같지만 관리가 깨끗이 잘 되고있었고, 바베큐테라스 뷰가좋더라고요. 경포대 가까워서 아침 산책하기도 좋았습니다."
35,경포우성펜션,,"친절한 사장님 감사합니다
한가지 아쉬운점은 너무 습했어요ㅠㅠ"
36,경포우성펜션,,사장님 친절하게 맞이해주시고 바닷가에서도 가깝고 전체적으로 깔끔해요~바베큐앞 작은정원을 센스있게 잘 꾸며놓으셨더라구요~(바베큐만원추가.저렴)수압도 쎄고 뜨거운물도 잘 나온답니다~아이들 두명( 7세5세 )만나이로 생일 안지나서 추가요금 안받는줄 알았는데 만원받더라구요. 그래도  바베큐가 저렴해서 그냥패스~~~전체적으로 만족합니다~
37,경포우성펜션,,좋아요!!! 밤늦게 갔는데 바베큐도 준비해주시고 ㅠㅠ
38,경포우성펜션,,"안그래도 느낌이 좋았는데 사장님 성함이 저랑 같으시더라구요 ㅎㅎ
복층 이용했는데 매우 만족하고 갑니다~
깨끗하고 불편함 없이 잘 이용했어요 ㅎㅎ
사장님도 친절하셔서 기분좋게 여행했습니다!"
39,경포우성펜션,,생각보다 방도 넓고 개인 테라스에서 고기 구워먹을 수 있어서 좋아요  화장실도 깨끗하고 전체적인 시설이 좋았어요
40,경포우성펜션,,튜브를 공짜로 빌려줘서 좋았다. 근데 모기가 좀 많았고 바베큐시설이 별로였다 숙소자체는 좋았다 특히 화장실이 깨끗 굿
41,계곡과소나무 펜션,,좋아요.
42,고망난돌민박,,"리뷰가 좋아 예약 했습니다.
일단 시설들이 올드하고 하루 이틀
잘때 추웠습니다.
어느분 리뷰가 생각나네요

앙안에 먼지가 좀 많이 났구요
화장실 따듯한 물은 한참을 틀
어야 나오고 수압이 많이 약했습니다.

저렴한 가격을 감안한 숙소라고 
생각 합니다.
"
43,고망난돌민박,,감귤나무 보이는 아늑한 방에서 잘 쉬고 왔습니다 ^^ 사장님 친절하셔서 좋았구요~ 가성비 좋은 곳이었습니다 ^^
44,고망난돌민박,,"온돌방인데 넘 추웠어요..
난방을 새벽에 끄셨는지 자다가 넘 추웠어요
애기도있눈데…좀 그랬어요ㅜ"
45,고망난돌민박,,"가까운 이웃 같은 분위기에서 편안히 잘 묵었다가 왔습니다...^^ 감귤꽃향기와 소나무향이 가득하고 표선과 성읍, 제주, 성산에서도 가깝고 바닷가까기 걸어서 5분 거리에 있어서 위치도 너무 좋네요..."
46,고망난돌민박,,깨끗하고 값싸고 주인분들 친절하시고 무엇 보다 조용해서 좋았습니다... 온돌방이 있어서 아기랑 가기에 참 좋네요...ㅋ
