,name,naverURL
0,가곡유황온천&스파,"https://map.naver.com/p/search/%EA%B0%80%EA%B3%A1%EC%9C%A0%ED%99%A9%EC%98%A8%EC%B2%9C%26%EC%8A%A4%ED%8C%8C/place/1303129258?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
1,가나아트파크,"https://map.naver.com/p/search/%EA%B0%80%EB%82%98%EC%95%84%ED%8A%B8%ED%8C%8C%ED%81%AC/?c=15.00,0,0,0,dh"
2,가남체육공원,"https://map.naver.com/p/search/%EA%B0%80%EB%82%A8%EC%B2%B4%EC%9C%A1%EA%B3%B5%EC%9B%90/?c=15.00,0,0,0,dh"
3,가람리조트,"https://map.naver.com/p/search/%EA%B0%80%EB%9E%8C%EB%A6%AC%EC%A1%B0%ED%8A%B8/?c=15.00,0,0,0,dh"
4,가막들공원,"https://map.naver.com/p/search/%EA%B0%80%EB%A7%89%EB%93%A4%EA%B3%B5%EC%9B%90/place/36606137?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
5,가산수변공원,"https://map.naver.com/p/search/%EA%B0%80%EC%82%B0%EC%88%98%EB%B3%80%EA%B3%B5%EC%9B%90/place/37322306?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
6,가야금테마공원,"https://map.naver.com/p/search/%EA%B0%80%EC%95%BC%EA%B8%88%ED%85%8C%EB%A7%88%EA%B3%B5%EC%9B%90/?c=15.00,0,0,0,dh"
7,가야랜드,"https://map.naver.com/p/search/%EA%B0%80%EC%95%BC%EB%9E%9C%EB%93%9C/?c=15.00,0,0,0,dh"
8,가야산역사신화테마관,"https://map.naver.com/p/search/%EA%B0%80%EC%95%BC%EC%82%B0%EC%97%AD%EC%82%AC%EC%8B%A0%ED%99%94%ED%85%8C%EB%A7%88%EA%B4%80/place/1778336372?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
9,가오실공원,"https://map.naver.com/p/search/%EA%B0%80%EC%98%A4%EC%8B%A4%EA%B3%B5%EC%9B%90/place/19700186?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
10,가조 백두산천지온천,"https://map.naver.com/p/search/%EA%B0%80%EC%A1%B0%20%EB%B0%B1%EB%91%90%EC%82%B0%EC%B2%9C%EC%A7%80%EC%98%A8%EC%B2%9C/?c=15.00,0,0,0,dh"
11,가포수변공원,"https://map.naver.com/p/search/%EA%B0%80%ED%8F%AC%EC%88%98%EB%B3%80%EA%B3%B5%EC%9B%90/place/35546070?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
