,name,naverURL
0,가경재 [한국관광 품질인증/Korea Quality],"https://map.naver.com/p/search/%EA%B0%80%EA%B2%BD%EC%9E%AC%20%5B%ED%95%9C%EA%B5%AD%EA%B4%80%EA%B4%91%20%ED%92%88%EC%A7%88%EC%9D%B8%EC%A6%9D%2FKorea%20Quality%5D/?c=15.00,0,0,0,dh"
1,가락관광호텔,"https://map.naver.com/p/search/%EA%B0%80%EB%9D%BD%EA%B4%80%EA%B4%91%ED%98%B8%ED%85%94/?c=15.00,0,0,0,dh"
2,가락청,"https://map.naver.com/p/search/%EA%B0%80%EB%9D%BD%EC%B2%AD/place/1957282399?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
3,가람나무,"https://map.naver.com/p/search/%EA%B0%80%EB%9E%8C%EB%82%98%EB%AC%B4/?c=15.00,0,0,0,dh"
4,가람초연재[한국관광 품질인증/Korea Quality],"https://map.naver.com/p/search/%EA%B0%80%EB%9E%8C%EC%B4%88%EC%97%B0%EC%9E%AC%5B%ED%95%9C%EA%B5%AD%EA%B4%80%EA%B4%91%20%ED%92%88%EC%A7%88%EC%9D%B8%EC%A6%9D%2FKorea%20Quality%5D/?c=15.00,0,0,0,dh"
5,가름게스트하우스,"https://map.naver.com/p/search/%EA%B0%80%EB%A6%84%EA%B2%8C%EC%8A%A4%ED%8A%B8%ED%95%98%EC%9A%B0%EC%8A%A4/?c=15.00,0,0,0,dh"
6,가리벨리 관광펜션(가리벨리관광펜션휴양타운),"https://map.naver.com/p/search/%EA%B0%80%EB%A6%AC%EB%B2%A8%EB%A6%AC%20%EA%B4%80%EA%B4%91%ED%8E%9C%EC%85%98%28%EA%B0%80%EB%A6%AC%EB%B2%A8%EB%A6%AC%EA%B4%80%EA%B4%91%ED%8E%9C%EC%85%98%ED%9C%B4%EC%96%91%ED%83%80%EC%9A%B4%29/?c=15.00,0,0,0,dh"
7,가리왕산이야기 펜션,"https://map.naver.com/p/search/%EA%B0%80%EB%A6%AC%EC%99%95%EC%82%B0%EC%9D%B4%EC%95%BC%EA%B8%B0%20%ED%8E%9C%EC%85%98/place/12931147?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
8,가바나모텔,"https://map.naver.com/p/search/%EA%B0%80%EB%B0%94%EB%82%98%EB%AA%A8%ED%85%94/place/11733059?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
9,가보호텔,"https://map.naver.com/p/search/%EA%B0%80%EB%B3%B4%ED%98%B8%ED%85%94/?c=15.00,0,0,0,dh"
10,가비원모텔[한국관광 품질인증/Korea Quality],"https://map.naver.com/p/search/%EA%B0%80%EB%B9%84%EC%9B%90%EB%AA%A8%ED%85%94%5B%ED%95%9C%EA%B5%AD%EA%B4%80%EA%B4%91%20%ED%92%88%EC%A7%88%EC%9D%B8%EC%A6%9D%2FKorea%20Quality%5D/?c=15.00,0,0,0,dh"
11,가시버시펜션,"https://map.naver.com/p/search/%EA%B0%80%EC%8B%9C%EB%B2%84%EC%8B%9C%ED%8E%9C%EC%85%98/?c=15.00,0,0,0,dh"
12,가야호텔,"https://map.naver.com/p/search/%EA%B0%80%EC%95%BC%ED%98%B8%ED%85%94/?c=15.00,0,0,0,dh"
