,addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
0,강원특별자치도 삼척시 가곡면 탕곡리,509-3,32,,A02,A0202,A02020300,2994116,12,20230717155822,http://tong.visitkorea.or.kr/cms/resource/54/2994054_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2994054_image3_1.jpg,Type3,129.2062296318,37.1507494904,6,20230807093649,4,033-572-1800,가곡유황온천&스파,25954
1,경기도 양주시 장흥면 권율로 117,,31,0,A02,A0202,A02020600,129194,12,20060807090000,http://tong.visitkorea.or.kr/cms/resource/46/2010746_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2010746_image3_1.jpg,Type3,126.9497496852,37.7254519094,6,20231213141137,18,,가나아트파크,11520
2,경기도 여주시 가남읍 대명산길 98,,31,0,A02,A0202,A02020700,2777865,12,20211123182854,http://tong.visitkorea.or.kr/cms/resource/71/2777971_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2777971_image2_1.jpg,Type3,127.5349142281,37.2017093544,6,20230206130357,20,,가남체육공원,12662
3,강원특별자치도 홍천군 두촌면 부채들길 29,,32,,A02,A0202,A02020200,2761729,28,20211025231847,http://tong.visitkorea.or.kr/cms/resource/68/2762468_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/68/2762468_image2_1.JPG,Type3,128.0183741240,37.8364809027,6,20230701132931,16,,가람리조트,25164
4,경기도 의왕시 양지편로 41-2,(청계동),31,0,A02,A0202,A02020700,2745573,12,20210915232109,,,,126.9956966089,37.3916915204,6,20231201101850,24,,가막들공원,16007
5,경상남도 양산시 동면 가산리 799,,36,0,A02,A0202,A02020700,2784347,12,20211201193109,http://tong.visitkorea.or.kr/cms/resource/72/2784372_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/72/2784372_image2_1.JPG,Type3,129.0178748959,35.2950648080,6,20230224113123,10,,가산수변공원,
6,전라남도 영암군 영암읍 기찬랜드로 19-10,,38,0,A02,A0202,A02020600,2732489,14,20210810225939,http://tong.visitkorea.or.kr/cms/resource/90/2732490_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/2732490_image2_1.jpg,Type3,126.6853841377,34.7916054707,6,20230822154853,17,,가야금테마공원,58420
7,경상남도 김해시 인제로 368,(삼방동),36,0,A02,A0202,A02020600,2714140,12,20210420194949,,,,128.9024609712,35.2582112598,6,20230808165425,4,,가야랜드,50811
8,경상북도 성주군 수륜면 가야산식물원길 21,,35,0,A02,A0202,A02020700,2733515,12,20210813004227,http://tong.visitkorea.or.kr/cms/resource/16/2733516_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/16/2733516_image2_1.png,Type3,128.1410602092,35.8010639410,6,20230821135454,10,,가야산역사신화테마관,40063
9,경상북도 예천군 개포면 가곡리,(개포면),35,0,A02,A0202,A02020700,128132,12,20040510090000,,,,128.3508189720,36.6118727137,6,20231110155505,16,,가오실공원,36844
10,경상남도 거창군 가조면 온천길 161,,36,0,A02,A0202,A02020300,127956,12,20040127090000,http://tong.visitkorea.or.kr/cms/resource/50/2042650_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2042650_image3_1.jpg,Type3,128.0229317531,35.6985345364,6,20240315100932,2,,가조 백두산천지온천,50118
