,addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
0,,,1,,C01,C0117,C01170001,2384832,25,20160524024219,http://tong.visitkorea.or.kr/cms/resource/70/2382970_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/2382970_image3_1.jpg,Type3,127.0494329104,37.5071013134,6,20230811103908,,,"가정의 달, 싱글을 위한 혼자 먹는 밥상 코스",
1,,,36,,C01,C0117,C01170001,2393559,25,20160718233313,http://tong.visitkorea.or.kr/cms/resource/68/580168_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/580168_image3_1.jpg,Type3,128.6247343647,34.8753240850,6,20230809132334,1,,거제에서만 먹을 수 있는 바다의 맛,
2,,,38,,C01,C0117,C01170001,2037381,25,20151102203013,http://tong.visitkorea.or.kr/cms/resource/21/2037121_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2037121_image3_1.jpg,Type3,126.3720818410,34.7662587195,6,20230811094218,8,,겨울 입맛을 돋궈주는 목포 5미,
3,,,35,,C01,C0117,C01170001,2557515,25,20180814030829,http://tong.visitkorea.or.kr/cms/resource/05/2557505_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/2557505_image2_1.jpg,Type3,128.7601169125,36.5768149396,6,20230811103132,11,,"겨울여행지 추천. 느린 만큼 매력적인 곳, 1박2일 안동 여행 코스",
4,,,37,,C01,C0117,C01170001,2036096,25,202401181743,http://tong.visitkorea.or.kr/cms/resource/51/1870451_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/1870451_image3_1.jpg,Type3,126.7032829996,35.9901671446,6,20240118174312,2,,군산의 명물 먹거리 여행,
5,,,4,,C01,C0117,C01170001,2037572,25,20151103231353,http://tong.visitkorea.or.kr/cms/resource/49/992049_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/992049_image3_1.jpg,Type3,128.5911185587,35.8718724712,6,20230809140054,,,김광석 노래 부르며 별미체험,
6,,,4,,C01,C0117,C01170001,2390799,25,20160630013855,http://tong.visitkorea.or.kr/cms/resource/02/2366102_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/02/2366102_image2_1.png,Type3,128.5848109015,35.8675450670,6,20230810170711,6,,대구 서부시장의 구석구석 맛집을 찾아,
7,,,6,,C01,C0117,C01170001,2393457,25,20160716003208,,,,129.0368537062,35.0955680697,6,20230809085437,14,,맛있는 부산의 남항시장 탐방,
8,,,37,,C01,C0117,C01170001,2371988,25,202401181743,http://tong.visitkorea.or.kr/cms/resource/66/1971366_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/1971366_image3_1.jpg,Type3,126.7157655256,35.9782103895,6,20240118174312,2,,먹고~ 사고~ 즐기고~ 군산 쓰리고 여행!,
9,,,1,,C01,C0117,C01170001,2385683,25,20160530193727,http://tong.visitkorea.or.kr/cms/resource/60/2377960_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/2377960_image3_1.jpg,Type3,126.9831045523,37.5447207531,6,20230809141822,21,,서울 해방촌의 이국적인 맛집을 찾아서,
10,,,1,,C01,C0117,C01170001,2036023,25,20151028175326,http://tong.visitkorea.or.kr/cms/resource/84/1809984_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/1809984_image3_1.jpg,Type3,126.9731155042,37.5825022938,6,20230808130024,23,,서울에서 전통주 체험을 할 수 있는 곳,
11,,,4,,C01,C0117,C01170001,2390797,25,20160630011552,http://tong.visitkorea.or.kr/cms/resource/70/1876170_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/1876170_image3_1.jpg,Type3,128.6353947739,35.7878550158,6,20230811092858,3,,시원한 물놀이 후 즐기는 대구의 찐빵,
12,,,38,,C01,C0117,C01170001,2371937,25,20160304201321,,,,127.7600352457,34.6413571979,,20230808163015,13,,"여수의 맛, 돌산 갓김치를 찾아서",
13,,,6,,C01,C0117,C01170001,2037446,25,20151103033302,http://tong.visitkorea.or.kr/cms/resource/00/1023900_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/1023900_image3_1.jpg,Type3,129.0814741955,35.2200382869,6,20230811140935,6,,온천욕 뒤 곰장어와 파전으로 몸보신,
14,,,32,,C01,C0117,C01170001,2034853,25,20151021184653,http://tong.visitkorea.or.kr/cms/resource/03/194803_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/194803_image3_1.jpg,Type3,128.0182024433,37.3497706068,6,20230809144958,9,,원주 행구동의 호젓한 카페길 코스,
15,,,2,,C01,C0117,C01170001,2372032,25,20160308192744,http://tong.visitkorea.or.kr/cms/resource/85/2050685_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2050685_image3_1.jpg,Type3,126.6368541332,37.3967651189,6,20230811133841,,,이국적인 분위기와 달콤한 도시 송도,
16,,,39,,C01,C0117,C01170001,2372031,25,20160308185908,http://tong.visitkorea.or.kr/cms/resource/56/2362756_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2362756_image3_1.jpg,Type3,126.6765039077,33.2723773593,6,20230810104041,,,제주의 특별한 카페찾아가기,
17,강원특별자치도 춘천시 명동길 34,(중앙로2가),32,,C01,C0117,C01170001,2672348,25,20200916024427,http://tong.visitkorea.or.kr/cms/resource/05/2365605_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/2365605_image3_1.jpg,Type3,127.7255661644,37.8781372367,6,20230712164110,13,,춘천 명물 닭갈비 먹으러 고고싱!,24354
18,,,33,,C01,C0117,C01170001,2372035,25,20160308202820,http://tong.visitkorea.or.kr/cms/resource/67/2050567_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2050567_image3_1.jpg,Type3,127.8481798295,37.0283795202,6,20230808152050,11,,충주 토속 음식과 향기로운 청명주를 찾아,
19,,,4,,C01,C0117,C01170001,2402006,25,20160818185330,,,,128.5961070541,35.8702116401,6,20230809091617,,,‘이열치열’ 하러 대구로 떠나자!,
