기준년월,방문자수,전년동월방문자수,방문자수증감률
202301,5250634,4718344,11.3
202302,5069533,3881231,30.6
202303,5609090,4644373,20.8
202304,5187763,4876382,6.4
202305,5494821,5267866,4.3
202306,5173605,4750735,8.9
202307,5398574,5515098,-2.1
202308,5179436,5220157,-0.8
202309,5329889,5267122,1.2
202310,5648916,5469307,3.3
202311,5194786,4999904,3.9
202312,5799197,5464274,6.1
202301,4066262,3731862,9
202302,3618783,3153376,14.8
202303,4576862,3923174,16.7
202304,3809579,3543428,7.5
202305,4085612,3757150,8.7
202306,3920489,3698627,6
202307,4024504,4615295,-12.8
202308,4070864,3933271,3.5
202309,4746092,4419548,7.4
202310,4300762,4043196,6.4
202311,4083600,3828436,6.7
202312,4435843,3969147,11.8
