기준년월,방문자수,전년동월방문자수,방문자수증감률
202301,2121029,1933767,9.7
202302,1983801,1698919,16.8
202303,2506595,2155911,16.3
202304,2113724,2129225,-0.7
202305,2339591,2447515,-4.4
202306,2136474,2136473,0
202307,2184908,2223970,-1.8
202308,2242191,2185850,2.6
202309,2459847,2432195,1.1
202310,2511586,2375858,5.7
202311,2190582,2184633,0.3
202312,2300796,2068649,11.2
202301,445052,439377,1.3
202302,407977,380044,7.3
202303,519287,462647,12.2
202304,496882,488567,1.7
202305,511465,550605,-7.1
202306,494828,484964,2
202307,483379,509234,-5.1
202308,503893,494667,1.9
202309,511430,540880,-5.4
202310,556075,590893,-5.9
202311,460010,466198,-1.3
202312,456100,422234,8
202301,1487799,1310061,13.6
202302,1332291,1172465,13.6
202303,1672922,1414202,18.3
202304,1604474,1586408,1.1
202305,1782342,1763965,1
202306,1687036,1602184,5.3
202307,1667097,1735433,-3.9
202308,1786149,1712474,4.3
202309,1693980,1920833,-11.8
202310,1627220,1903791,-14.5
202311,1416824,1683733,-15.8
202312,1228187,1356199,-9.4
202301,936518,961570,-2.6
202302,888670,831474,6.9
202303,1125781,1043437,7.9
202304,1060114,1114680,-4.9
202305,1091043,1209708,-9.8
202306,1242208,1086231,14.4
202307,1042348,1142567,-8.8
202308,1128632,1111381,1.6
202309,1150524,1219421,-5.6
202310,1177089,1178941,-0.2
202311,1002971,1057959,-5.2
202312,887412,878006,1.1
202301,2417614,2304090,4.9
202302,2231570,1989907,12.1
202303,2843832,2364456,20.3
202304,2616684,2772876,-5.6
202305,2687099,2825751,-4.9
202306,2483055,2456106,1.1
202307,2464307,2584660,-4.6
202308,2518501,2549920,-1.2
202309,2628688,2835703,-7.3
202310,2746223,2731330,0.5
202311,2347049,2455820,-4.4
202312,2401611,2318278,3.6
202301,2468110,2265796,8.9
202302,2236688,1953766,14.5
202303,2966953,2524128,17.5
202304,2451342,2442934,0.3
202305,2573226,2656953,-3.2
202306,2416644,2408287,0.3
202307,2527308,2539302,-0.5
202308,2526095,2436457,3.7
202309,2684093,2835251,-5.3
202310,2598819,2551396,1.8
202311,2365105,2374916,-0.4
202312,2532298,2368995,6.9
202301,1949306,1763381,10.5
202302,1681169,1450409,15.9
202303,2251661,1788611,25.9
202304,2085037,1879278,10.9
202305,2231523,2165662,3
202306,2127075,2041686,4.2
202307,2182977,2255348,-3.2
202308,2340891,2264499,3.4
202309,2463468,2423153,1.7
202310,2456619,2403761,2.2
202311,2066919,2046251,1
202312,2154319,1694408,27.1
