,name,rate,review
0,가까운약국 서면,,좋아요 좋아요
1,가까운약국 서면,,안 기다리고  빨리 받을 수 있었어요!
2,가까운약국 서면,,친절해요
3,가까운약국 서면,,굿
4,가까운약국 서면,,굿
5,가까운약국 서면,,ㅇ
6,가까운약국 서면,,굿
7,가까운약국 서면,,.
8,가까운약국 서면,,좋아요 
9,가까운약국 서면,,.
10,가네시 롯데본점,,남자친구가 생일선물로 준 선물이라 저한테 정말 의미있는 소중한 귀걸인데 잃어버려서 우울했었어요 ㅜㅜ 인터넷으론 너무 비싸서 매장에 전화 드려보니까 공감도 너무 잘해주시고 프로모션 적용해서 더 저렴하게 살 수 있었어요 ! 가네시 직원 분들 짱이에요 !! 포장도 예쁘고 꼼꼼하게 해주시고 너무 친절하게 잘 응대해주셔서 너무 감사드렸습니다💖
11,가네시 롯데본점,,좋아요
12,가네시 롯데본점,,"제품들도 예쁘고, 직원분들도 최고입니다."
13,가네시 롯데본점,,친절하셔서 무척 좋았어요.
14,가네시 롯데본점,,잘샀습니다
15,가네시 롯데본점,,잘샀습니다
16,가네시 롯데본점,,친절하고 제품 이뻐요~
17,가미성형외과,,"부기레이저도 받고 서류비계산 
수술한다음날에 방문했는데 
직원분들 친절하게 맞이해주셔서 좋아요"
18,가미성형외과,,"아직 부기도 다안빠졌고 
다른부분은 지켜봐야 되겠지만 
다른병원에서는 그냥 무조건된다 했었는데 
여기선 그림도 그려서 설명해주시고 
실장님이 예약강요도없어서좋았습니다 
수술예약잡고 재수술 했는데 
재수술하고나서 결과가 최종적으로 부기가 다빠진게아니라 아직은모르지만 
전에보다 확실히 제가 별로였던부분 다 개선됐어요
말이일단 잘통하고 사진보여드리니 라인잡아주는것도 제스타일이였음  
부기 빨리빠졌음좋겠고 남은실밥도 빨리 제거하고싶어요 친절해서너무좋음 "
19,가미성형외과,,친절
20,가미성형외과,,좋아요 
21,가미성형외과,,굿!
22,가미성형외과,,굿
23,가미성형외과,,굿
24,가미성형외과,,굿
25,가미성형외과,,조아요
26,가미성형외과,,물광주사 받고 주변 친구들이 왜이렇게 젊어졌냐며 칭찬을 해주더라고요 ㅋㅋㅋ 정말 대박입니다
27,가치 롯데 본점,,"인생 떡집!!!
진짜 먹어본 쑥 절편 중 쵝오임!!!
 (7500원)
1~2주에 한번 롯백 갈때마다 사옴~"
28,가치 롯데 본점,,"인생떡집이에요!!!
1~2주에 한번씩 가서 콩가루 쑥 절편이랑 꿀떡 사오는데~~
한정기간에만 먹을 수 있는 어린쑥설기 강추하셔서 사보았는데... 그저 그랬네요😅"
29,가치 롯데 본점,,"고시 8구 선물세트를 선물용으로 구입했어요.
내용물도 고급지고 맛나보였지만...
상자는 조선시대 궁궐같은 무늬가 엄청 이쁘구요.
이걸 또 아름다운 보자기에 싸서 판매하시더라구요.
진짜 완전 선물하기에 딱인 거 같아요."
30,가치 롯데 본점,,맛있는 떡들이 가득 포장도 예뻐서 선물하기도 좋아요
31,가치 롯데 본점,,선물하기 좋은 구성과 맛나보이는 떡들이 가득
32,간격 드로잉스페이스,,딱 원했던 스케치 수업이었습니다. 시간 날때 정규 수업도 들어봐야겠어요.
