,name,naverURL
0,가가상점,"https://map.naver.com/p/search/%EA%B0%80%EA%B0%80%EC%83%81%EC%A0%90/?c=15.00,0,0,0,dh"
1,가경 터미널시장,"https://map.naver.com/p/search/%EA%B0%80%EA%B2%BD%20%ED%84%B0%EB%AF%B8%EB%84%90%EC%8B%9C%EC%9E%A5/?c=15.00,0,0,0,dh"
2,가까운약국 서면,"https://map.naver.com/p/search/%EA%B0%80%EA%B9%8C%EC%9A%B4%EC%95%BD%EA%B5%AD%20%EC%84%9C%EB%A9%B4/place/19525836?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
3,가나안약국,"https://map.naver.com/p/search/%EA%B0%80%EB%82%98%EC%95%88%EC%95%BD%EA%B5%AD/?c=15.00,0,0,0,dh"
4,가네시 롯데본점,"https://map.naver.com/p/search/%EA%B0%80%EB%84%A4%EC%8B%9C%20%EB%A1%AF%EB%8D%B0%EB%B3%B8%EC%A0%90/place/1908343480?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
5,가넷,"https://map.naver.com/p/search/%EA%B0%80%EB%84%B7/?c=15.00,0,0,0,dh"
6,가든파이브라이프(Garden5life),"https://map.naver.com/p/search/%EA%B0%80%EB%93%A0%ED%8C%8C%EC%9D%B4%EB%B8%8C%EB%9D%BC%EC%9D%B4%ED%94%84%28Garden5life%29/?c=15.00,0,0,0,dh"
7,가락농수산물종합도매시장,"https://map.naver.com/p/search/%EA%B0%80%EB%9D%BD%EB%86%8D%EC%88%98%EC%82%B0%EB%AC%BC%EC%A2%85%ED%95%A9%EB%8F%84%EB%A7%A4%EC%8B%9C%EC%9E%A5/?c=15.00,0,0,0,dh"
8,가락몰,"https://map.naver.com/p/search/%EA%B0%80%EB%9D%BD%EB%AA%B0/?c=15.00,0,0,0,dh"
9,가락수산시장,"https://map.naver.com/p/search/%EA%B0%80%EB%9D%BD%EC%88%98%EC%82%B0%EC%8B%9C%EC%9E%A5/?c=15.00,0,0,0,dh"
10,가래비시장(가납시장),"https://map.naver.com/p/search/%EA%B0%80%EB%9E%98%EB%B9%84%EC%8B%9C%EC%9E%A5%28%EA%B0%80%EB%82%A9%EC%8B%9C%EC%9E%A5%29/?c=15.00,0,0,0,dh"
11,가리봉시장,"https://map.naver.com/p/search/%EA%B0%80%EB%A6%AC%EB%B4%89%EC%8B%9C%EC%9E%A5/?c=15.00,0,0,0,dh"
12,가미성형외과,"https://map.naver.com/p/search/%EA%B0%80%EB%AF%B8%EC%84%B1%ED%98%95%EC%99%B8%EA%B3%BC/place/37650229?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
13,가버 현대가든파이브,"https://map.naver.com/p/search/%EA%B0%80%EB%B2%84%20%ED%98%84%EB%8C%80%EA%B0%80%EB%93%A0%ED%8C%8C%EC%9D%B4%EB%B8%8C/?c=15.00,0,0,0,dh"
14,가버 현대동대문,"https://map.naver.com/p/search/%EA%B0%80%EB%B2%84%20%ED%98%84%EB%8C%80%EB%8F%99%EB%8C%80%EB%AC%B8/?c=15.00,0,0,0,dh"
15,가은아자개장터,"https://map.naver.com/p/search/%EA%B0%80%EC%9D%80%EC%95%84%EC%9E%90%EA%B0%9C%EC%9E%A5%ED%84%B0/?c=15.00,0,0,0,dh"
16,가음정시장,"https://map.naver.com/p/search/%EA%B0%80%EC%9D%8C%EC%A0%95%EC%8B%9C%EC%9E%A5/?c=15.00,0,0,0,dh"
17,가이거,"https://map.naver.com/p/search/%EA%B0%80%EC%9D%B4%EA%B1%B0/?c=13.00,0,0,0,dh"
18,가좌시장,"https://map.naver.com/p/search/%EA%B0%80%EC%A2%8C%EC%8B%9C%EC%9E%A5/?c=15.00,0,0,0,dh"
19,가치 롯데 본점,"https://map.naver.com/p/search/%EA%B0%80%EC%B9%98%20%EB%A1%AF%EB%8D%B0%20%EB%B3%B8%EC%A0%90/place/1334359085?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
20,가평 잣고을 전통시장,"https://map.naver.com/p/search/%EA%B0%80%ED%8F%89%20%EC%9E%A3%EA%B3%A0%EC%9D%84%20%EC%A0%84%ED%86%B5%EC%8B%9C%EC%9E%A5/?c=15.00,0,0,0,dh"
21,"가평 현리5일장 (4, 9일)","https://map.naver.com/p/search/%EA%B0%80%ED%8F%89%20%ED%98%84%EB%A6%AC5%EC%9D%BC%EC%9E%A5%20%284%2C%209%EC%9D%BC%29/?c=15.00,0,0,0,dh"
22,"가평5일장 (5, 10일)","https://map.naver.com/p/search/%EA%B0%80%ED%8F%895%EC%9D%BC%EC%9E%A5%20%285%2C%2010%EC%9D%BC%29/?c=15.00,0,0,0,dh"
23,간격 드로잉스페이스,"https://map.naver.com/p/search/%EA%B0%84%EA%B2%A9%20%EB%93%9C%EB%A1%9C%EC%9E%89%EC%8A%A4%ED%8E%98%EC%9D%B4%EC%8A%A4/place/1037657530?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
24,간석자유시장,"https://map.naver.com/p/search/%EA%B0%84%EC%84%9D%EC%9E%90%EC%9C%A0%EC%8B%9C%EC%9E%A5/?c=15.00,0,0,0,dh"
25,"감곡장 / 감곡시장 (3, 8일)","https://map.naver.com/p/search/%EA%B0%90%EA%B3%A1%EC%9E%A5%20%2F%20%EA%B0%90%EA%B3%A1%EC%8B%9C%EC%9E%A5%20%283%2C%208%EC%9D%BC%29/?c=15.00,0,0,0,dh"
26,감만시장,"https://map.naver.com/p/search/%EA%B0%90%EB%A7%8C%EC%8B%9C%EC%9E%A5/?c=15.00,0,0,0,dh"
27,감전제일상가시장,"https://map.naver.com/p/search/%EA%B0%90%EC%A0%84%EC%A0%9C%EC%9D%BC%EC%83%81%EA%B0%80%EC%8B%9C%EC%9E%A5/place/13347248?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
28,"감포공설시장(3, 8일)","https://map.naver.com/p/search/%EA%B0%90%ED%8F%AC%EA%B3%B5%EC%84%A4%EC%8B%9C%EC%9E%A5%283%2C%208%EC%9D%BC%29/?c=15.00,0,0,0,dh"
29,강경대흥시장,"https://map.naver.com/p/search/%EA%B0%95%EA%B2%BD%EB%8C%80%ED%9D%A5%EC%8B%9C%EC%9E%A5/?c=15.00,0,0,0,dh"
30,강경젓갈시장,"https://map.naver.com/p/search/%EA%B0%95%EA%B2%BD%EC%A0%93%EA%B0%88%EC%8B%9C%EC%9E%A5/place/13298693?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
31,"강구장 (3, 8일)","https://map.naver.com/p/search/%EA%B0%95%EA%B5%AC%EC%9E%A5%20%283%2C%208%EC%9D%BC%29/?c=15.00,0,0,0,dh"
32,강남고속터미널 혼수상가,"https://map.naver.com/p/search/%EA%B0%95%EB%82%A8%EA%B3%A0%EC%86%8D%ED%84%B0%EB%AF%B8%EB%84%90%20%ED%98%BC%EC%88%98%EC%83%81%EA%B0%80/?c=15.00,0,0,0,dh"
33,강남시장,"https://map.naver.com/p/search/%EA%B0%95%EB%82%A8%EC%8B%9C%EC%9E%A5/?c=10.00,0,0,0,dh"
34,강남테마피부과의원,"https://map.naver.com/p/search/%EA%B0%95%EB%82%A8%ED%85%8C%EB%A7%88%ED%94%BC%EB%B6%80%EA%B3%BC%EC%9D%98%EC%9B%90/place/13494681?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
35,강동역점JDX,"https://map.naver.com/p/search/%EA%B0%95%EB%8F%99%EC%97%AD%EC%A0%90JDX/place/1069703291?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
36,강릉 농산물도매시장,"https://map.naver.com/p/search/%EA%B0%95%EB%A6%89%20%EB%86%8D%EC%82%B0%EB%AC%BC%EB%8F%84%EB%A7%A4%EC%8B%9C%EC%9E%A5/?c=15.00,0,0,0,dh"
