,addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
0,경상남도 창원시 마산합포구 성호서7길 15-8,,36,0,A02,A0203,A02030100,2019720,12,20150721030848,http://tong.visitkorea.or.kr/cms/resource/55/2033255_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/2033255_image3_1.jpg,Type3,128.5696552845,35.2077664004,6,20230412105954,16,,가고파 꼬부랑길 벽화마을,51281
1,경기도 양평군 지평면 부일길 101,(지평면),31,0,A02,A0203,A02030100,1553085,12,20120216000046,http://tong.visitkorea.or.kr/cms/resource/63/2480263_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2480263_image2_1.jpg,Type3,127.6140193424,37.4517346633,6,20230217161904,19,,가루매마을,12544
2,강원특별자치도 정선군 북평면 중봉길 41-35,,32,,A02,A0203,A02030400,3068424,12,20231214095937,,,,128.6097538017,37.4742535268,6,20240129153943,11,033-560-3467,가리왕산케이블카,26100
3,경상남도 진주시 명석면 관덕길 174,(명석면),36,0,A02,A0203,A02030100,128498,12,20050512090000,http://tong.visitkorea.or.kr/cms/resource/48/2629048_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/48/2629048_image2_1.bmp,Type3,128.0324121006,35.2586565930,6,20230328111610,13,,가뫼골마을,52641
4,경상북도 칠곡군 가산면 가산로 891,,35,0,A02,A0203,A02030100,2629074,12,20191023014804,http://tong.visitkorea.or.kr/cms/resource/63/2629063_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/63/2629063_image2_1.bmp,Type3,128.5978129850,36.0501079498,6,20230308140211,22,,가산산성마을,39853
5,경기도 용인시 처인구 포곡읍 가실리,212-1,31,,A02,A0203,A02030600,3023389,12,20231024111743,,,,127.1923454131,37.2933147810,6,20231024111814,23,,가실벚꽃길,17021
6,경상북도 성주군 가천면 동신로 28,,35,0,A02,A0203,A02030100,128481,12,20050510090000,,,,128.1029259647,35.8562319975,6,20231204160424,10,,가야산칠불봉 야생화마을,40062
7,경상남도 김해시 봉황동,,36,0,A02,A0203,A02030600,250121,12,20060728090000,,,,128.8725475322,35.2355465857,6,20231214155222,4,,가야의 거리,50918
8,전라남도 강진군 가우도길 2-87,,38,,A02,A0203,A02030400,3006493,12,20230816182305,http://tong.visitkorea.or.kr/cms/resource/73/3006473_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/3006473_image3_1.jpg,Type3,126.7847455361,34.5339749368,6,20230905190618,1,,가우도 모노레일,59251
9,전북특별자치도 남원시 운봉읍 가장길 4,,37,0,A02,A0203,A02030100,2793231,12,20211213232419,http://tong.visitkorea.or.kr/cms/resource/92/2800792_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2800792_image2_1.jpg,Type3,127.5179339854,35.4101221138,6,20240118112324,4,,가장마을,55720
10,전라남도 곡성군 고달면 가정마을길 120,(고달면),38,0,A02,A0203,A02030100,128427,12,20050422090000,,,,127.3712766775,35.2263181024,6,20230516120040,3,,가정녹색농촌체험마을,57547
11,울산광역시 남구 대공원로 84,(옥동),7,0,A02,A0203,A02030400,130523,14,20041008090000,http://tong.visitkorea.or.kr/cms/resource/19/1899619_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/1899619_image3_1.jpg,Type3,129.2905556337,35.5319960593,6,20230719152956,2,,가족문화센터,44660
12,강원특별자치도 인제군 인제읍 하추로 187,,32,0,A02,A0203,A02030100,2664758,12,20200723193131,http://tong.visitkorea.or.kr/cms/resource/24/2633024_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/24/2633024_image2_1.bmp,Type3,128.2814141316,38.0198812510,6,20231018154602,10,,가족올래 하추리마을,24642
13,대구광역시 달성군 가창면 가창로 1099,(가창면),4,0,A02,A0203,A02030600,2034446,12,20151021001307,http://tong.visitkorea.or.kr/cms/resource/70/1876170_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/1876170_image3_1.jpg,Type3,128.6222232980,35.8027142041,6,20231026155741,3,,가창 찐빵 골목,42933
14,경상남도 하동군 화개면 탑리,,36,0,A02,A0203,A02030100,2785941,12,20211206190608,http://tong.visitkorea.or.kr/cms/resource/42/2788042_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/2788042_image2_1.jpg,Type3,127.6380178715,35.1951401371,6,20240423220135,18,,가탄마을,52303
15,충청남도 청양군 대치면 가파로 506-6,,34,0,A02,A0203,A02030100,128418,12,20070914090000,http://tong.visitkorea.or.kr/cms/resource/20/2629520_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/20/2629520_image2_1.bmp,Type3,126.8796427201,36.4976315311,6,20230802192220,13,,가파마을,33341
16,경기도 가평군 가평읍 용추로 238,,31,0,A02,A0203,A02030100,630461,12,20081001023346,http://tong.visitkorea.or.kr/cms/resource/10/2795310_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/2795310_image2_1.jpg,Type3,127.4877442849,37.8475697154,6,20230823151418,1,,가평 아홉마지기마을,12408
17,경기도 가평군 북면 백둔로 417-11,,31,0,A02,A0203,A02030100,129285,12,20061031090000,http://tong.visitkorea.or.kr/cms/resource/76/532876_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/532876_image3_1.jpg,Type3,127.4623783495,37.9014407526,6,20231011103643,1,,가평 연인산마을,12406
18,경기도 가평군 상면 축령로 70,,31,0,A02,A0203,A02030100,129407,12,20061213090000,http://tong.visitkorea.or.kr/cms/resource/35/2364435_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2364435_image3_1.jpg,Type3,127.3645382139,37.7741593259,6,20230331131946,1,,가평 영양잣마을,12448
19,경기도 가평군 가평읍 중앙로 10,,31,,A02,A0203,A02030400,3077222,12,20231024103926,,,,127.5132759112,37.8264393122,6,20240112142012,1,,가평군어린이음악놀이터,12420
20,경상남도 합천군 가야면 야천로 101,,36,0,A02,A0203,A02030100,538472,12,20080417225018,http://tong.visitkorea.or.kr/cms/resource/70/2484270_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/2484270_image2_1.jpg,Type3,128.1395944368,35.7729782070,6,20230823170218,21,,각사산촌행태체험마을,50201
21,충청남도 서산시 부석면 간월도리,,34,0,A02,A0203,A02030100,129045,12,20060622090000,http://tong.visitkorea.or.kr/cms/resource/20/2518020_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/2518020_image2_1.jpg,Type3,126.4227029018,36.6192846446,6,20230610062715,7,,간월도마을,32023
22,충청남도 태안군 원북면 대기길 12-20,,34,0,A02,A0203,A02030100,2629105,12,20191023022226,http://tong.visitkorea.or.kr/cms/resource/96/2629096_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/96/2629096_image2_1.bmp,Type3,126.2574770059,36.7988972173,6,20231214174813,14,,갈두천권역마을,32112
23,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이,,39,0,A02,A0203,A02030200,635593,12,20081010200127,,,,126.3136584209,33.2351423980,6,20231110095910,3,,갈중이(천연염색체험),63528
24,경상북도 청도군 금천면 소천길 193,,35,0,A02,A0203,A02030100,548138,12,20080419012543,http://tong.visitkorea.or.kr/cms/resource/03/1967203_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/1967203_image3_1.jpg,Type3,128.9006982586,35.7235366389,6,20230610064611,20,,감빛고을,38361
25,강원특별자치도 삼척시 대학로 9-1 마스터컷,,32,,A02,A0203,A02030400,2820184,12,20220517144326,http://tong.visitkorea.or.kr/cms/resource/70/2820170_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/2820170_image2_1.jpg,Type3,129.1633412260,37.4419901843,6,20230703081722,4,,감성공작소,25917
26,제주특별자치도 제주시 구좌읍 평대7길 34,,39,,A02,A0203,A02030100,3056401,12,20231204110507,http://tong.visitkorea.or.kr/cms/resource/82/3056382_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/3056382_image3_1.jpg,Type3,126.8432807691,33.5310570194,6,20231204110531,4,,감수굴 밭담길,63360
27,경상남도 거창군 신원면 연수사길 456,,36,0,A02,A0203,A02030400,2755857,12,20211013014530,http://tong.visitkorea.or.kr/cms/resource/73/2774673_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/73/2774673_image2_1.JPG,Type3,127.9199604172,35.5901644033,6,20230202144940,2,,감악산항노화웰니스체험장,50153
28,강원특별자치도 평창군 평창읍 고길천로 105,,32,0,A02,A0203,A02030400,2524116,12,20170831090043,http://tong.visitkorea.or.kr/cms/resource/00/2531500_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2531500_image2_1.jpg,Type3,128.4388806611,37.3688513197,6,20231031100358,15,,감자꽃 스튜디오,25370
29,충청남도 금산군 금산천길 106 금산시장,3동 1층 36호 (갓도넛),34,,A02,A0203,A02030400,2996127,12,20230726151335,http://tong.visitkorea.or.kr/cms/resource/24/2996124_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/2996124_image3_1.jpg,Type1,127.4918597073,36.0997933658,6,20230727102639,2,,갓도넛(주식회사 갓도넛),32747
30,전라남도 목포시 남농로 135,일대 (용해동),38,0,A02,A0203,A02030600,126828,12,20040224090000,http://tong.visitkorea.or.kr/cms/resource/60/2515460_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/2515460_image2_1.jpg,Type3,126.4209824186,34.7936564349,6,20231214155806,8,,갓바위 문화타운,58699
31,충청남도 논산시 강경읍 계백로167번길 46-11,,34,,A02,A0203,A02030400,3082347,14,20240116165644,,,,127.0155005764,36.1618473607,6,20240124110223,3,,강경구락부,32935
32,충청남도 논산시 강경읍 옥녀봉로 30-5,,34,0,A02,A0203,A02030600,2650372,12,20200325020256,,,,127.0178753661,36.1617724110,6,20231123122715,3,,강경근대거리,32934
33,서울특별시 강남구 역삼동,(역삼동),1,0,A02,A0203,A02030400,264570,12,20050623224701,http://tong.visitkorea.or.kr/cms/resource/08/1984608_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/1984608_image3_1.jpg,Type3,127.0281573537,37.4970465429,6,20230822163704,1,,강남,06232
34,서울특별시 강남구 압구정로 161,,1,0,A02,A0203,A02030400,1949905,12,20140923030533,http://tong.visitkorea.or.kr/cms/resource/75/1258175_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/1258175_image3_1.jpg,Type3,127.0264344408,37.5269874797,6,20231204162757,1,,강남 시티투어 (트롤리버스),06001
