,Unnamed: 0,name,naverURL,contains_review
2,2,가락청,"https://map.naver.com/p/search/%EA%B0%80%EB%9D%BD%EC%B2%AD/place/1957282399?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
7,7,가리왕산이야기 펜션,"https://map.naver.com/p/search/%EA%B0%80%EB%A6%AC%EC%99%95%EC%82%B0%EC%9D%B4%EC%95%BC%EA%B8%B0%20%ED%8E%9C%EC%85%98/place/12931147?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
8,8,가바나모텔,"https://map.naver.com/p/search/%EA%B0%80%EB%B0%94%EB%82%98%EB%AA%A8%ED%85%94/place/11733059?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
18,18,가족사랑바다체험펜션,"https://map.naver.com/p/search/%EA%B0%80%EC%A1%B1%EC%82%AC%EB%9E%91%EB%B0%94%EB%8B%A4%EC%B2%B4%ED%97%98%ED%8E%9C%EC%85%98/place/38460255?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
20,20,가평 가둘기정원 키즈풀빌라 가족 스파 온수수영장 펜션,"https://map.naver.com/p/search/%EA%B0%80%ED%8F%89%20%EA%B0%80%EB%91%98%EA%B8%B0%EC%A0%95%EC%9B%90%20%ED%82%A4%EC%A6%88%ED%92%80%EB%B9%8C%EB%9D%BC%20%EA%B0%80%EC%A1%B1%20%EC%8A%A4%ED%8C%8C%20%EC%98%A8%EC%88%98%EC%88%98%EC%98%81%EC%9E%A5%20%ED%8E%9C%EC%85%98/place/12788243?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
24,24,갈모봉 힐링스테이,"https://map.naver.com/p/search/%EA%B0%88%EB%AA%A8%EB%B4%89%20%ED%9E%90%EB%A7%81%EC%8A%A4%ED%85%8C%EC%9D%B4/place/38765993?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
25,25,강가에 하얀집 펜션,"https://map.naver.com/p/search/%EA%B0%95%EA%B0%80%EC%97%90%20%ED%95%98%EC%96%80%EC%A7%91%20%ED%8E%9C%EC%85%98/place/1063501891?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
26,26,강가의성,"https://map.naver.com/p/search/%EA%B0%95%EA%B0%80%EC%9D%98%EC%84%B1/place/13145603?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
33,33,강릉 로뎀나무 펜션,"https://map.naver.com/p/search/%EA%B0%95%EB%A6%89%20%EB%A1%9C%EB%8E%80%EB%82%98%EB%AC%B4%20%ED%8E%9C%EC%85%98/place/21908564?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
35,35,강릉 스테이인옥,"https://map.naver.com/p/search/%EA%B0%95%EB%A6%89%20%EC%8A%A4%ED%85%8C%EC%9D%B4%EC%9D%B8%EC%98%A5/place/1939861642?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
36,36,강릉 지중해펜션,"https://map.naver.com/p/search/%EA%B0%95%EB%A6%89%20%EC%A7%80%EC%A4%91%ED%95%B4%ED%8E%9C%EC%85%98/place/1294834516?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
41,41,강변에서 황토콘도,"https://map.naver.com/p/search/%EA%B0%95%EB%B3%80%EC%97%90%EC%84%9C%20%ED%99%A9%ED%86%A0%EC%BD%98%EB%8F%84/place/11731222?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
42,42,강변의수채화 펜션,"https://map.naver.com/p/search/%EA%B0%95%EB%B3%80%EC%9D%98%EC%88%98%EC%B1%84%ED%99%94%20%ED%8E%9C%EC%85%98/place/12892986?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
43,43,강애산애펜션,"https://map.naver.com/p/search/%EA%B0%95%EC%95%A0%EC%82%B0%EC%95%A0%ED%8E%9C%EC%85%98/place/1738696677?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
