기준년월,방문자수,전년동월방문자수,방문자수증감률
202301,1743563,1564640,11.4
202302,1526502,1350263,13
202303,1805835,1567507,15.2
202304,1614308,1526459,5.8
202305,1734530,1610926,7.7
202306,1621057,1535099,5.6
202307,1698421,1935681,-12.2
202308,1639284,1662716,-1.4
202309,1905756,1788520,6.6
202310,1795447,1651331,8.7
202311,1710035,1601886,6.8
202312,1822278,1655693,10.1
202301,2269956,2099892,8.1
202302,2100613,1812058,15.9
202303,2608292,2258675,15.5
202304,2217201,2165031,2.4
202305,2338893,2214210,5.6
202306,2172129,2069582,5
202307,2242796,2459564,-8.8
202308,2241573,2230032,0.5
202309,2426751,2469527,-1.7
202310,2364141,2392709,-1.2
202311,2146828,2244400,-4.3
202312,2248660,2152539,4.5
