,addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
0,충청남도 논산시 강경읍 황산리,27-8,34,,A03,A0305,A03050100,3036539,28,20231110153644,http://tong.visitkorea.or.kr/cms/resource/11/3036511_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/11/3036511_image3_1.JPG,Type3,127.0106038930,36.1580199355,6,20231110153657,3,,강경수상레져종합타운,32930
1,강원특별자치도 춘천시 남산면 북한강변길 1163,,32,,A03,A0305,A03050100,2774561,28,20211116005634,,,,127.6348485151,37.8148679079,6,20230701135527,13,,강촌테마랜드,24465
2,인천광역시 강화군 불은면 중앙로 546-34,,2,,A03,A0305,A03050100,2597317,28,20190416203912,http://tong.visitkorea.or.kr/cms/resource/66/2961566_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/2961566_image3_1.jpg,Type3,126.4538675793,37.7148582113,6,20231004143550,1,,강화레포츠파크,23038
3,경상남도 거제시 덕포5길 35-2,(덕포동),36,,A03,A0305,A03050100,2393038,28,20160714195537,http://tong.visitkorea.or.kr/cms/resource/92/2393092_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2393092_image2_1.jpg,Type3,128.7109369971,34.9121604129,6,20230627140131,1,,거제 덕포랜드 씨라인,53213
4,서울특별시 송파구 동남로 189 가락쌍용아파트,B2,1,,A03,A0305,A03050100,2932972,28,20221215105018,,,,127.1298703879,37.4947153102,6,20221215111555,18,,골든블루 키즈빌리지,05823
5,경상남도 함양군 병곡면 병곡지곡로 333-2,,36,,A03,A0305,A03050100,3058749,28,20231205115927,http://tong.visitkorea.or.kr/cms/resource/32/3058732_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/3058732_image3_1.jpg,Type3,127.7085792075,35.5854667389,6,20231205121524,20,,대봉스카이랜드 모노레일 앤 짚라인,50028
6,강원특별자치도 평창군 미탄면 마하길 41-5,,32,,A03,A0305,A03050100,2394618,28,20160725184941,http://tong.visitkorea.or.kr/cms/resource/10/2394610_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/10/2394610_image2_1.JPG,Type3,128.5410987766,37.2917010437,6,20230701135522,15,,동강레포츠,25384
7,경상남도 합천군 용주면 합천호수로 828-5,,36,,A03,A0305,A03050100,1920958,28,20140526182635,http://tong.visitkorea.or.kr/cms/resource/03/2392303_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/2392303_image2_1.jpg,Type3,128.0803557687,35.5468943839,6,20240109101029,21,,라온레포츠,50215
8,제주특별자치도 제주시 조천읍 선흘리,600-6,39,,A03,A0305,A03050100,3079602,28,20240110101353,http://tong.visitkorea.or.kr/cms/resource/95/3079595_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/3079595_image3_1.jpg,Type3,126.7069352809,33.4869485898,6,20240110101426,4,,라플라이,63340
9,경기도 양평군 개군면 공세리,,31,,A03,A0305,A03050100,3031964,28,20231106153902,http://tong.visitkorea.or.kr/cms/resource/55/3031955_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/55/3031955_image3_1.JPG,Type3,127.5324762378,37.4688228545,6,20231106173136,19,,레저테마파크,12566
