,Unnamed: 0_x,name,혼자,액티비티,자연,힐링,Unnamed: 0_y,addr1,cat1,cat2,cat3,힐링_int,혼자_int,자연_int,액티비티_int,province,city
0,0,1004 뮤지엄파크,0.4876773715019226,0.6277445971965789,0.6011918365955353,0.538307398557663,0,전라남도 신안군 자은서부2길 508-65,A02,A0202,A02020600,0,0,1,0,전라남도,신안군
1,1,3.15해양누리공원,0.6067760467529297,0.6938759505748748,0.6862568616867065,0.6440400004386901,1,경상남도 창원시 마산합포구 월남동1가,A02,A0202,A02020700,1,0,1,0,경상남도,창원시
2,2,5·18 기념공원,0.4229502588510513,0.497660094499588,0.5154432415962219,0.5316575050354004,2,광주광역시 서구 내방로 152,A02,A0202,A02020700,1,0,1,0,광주광역시,서구
3,3,5·18 자유공원,0.5384633183479309,0.650445967912674,0.6556445509195328,0.6604368329048157,3,광주광역시 서구 상무평화로 13,A02,A0202,A02020700,0,0,0,0,광주광역시,서구
4,4,PTP 애견테마파크,0.4212006121873856,0.5200388193130493,0.5082600176334381,0.5077406823635101,4,전북특별자치도 익산시 진북로 294-18,A02,A0202,A02020600,0,0,0,0,전북특별자치도,익산시
5,5,PTP애견테마파크,0.4212006121873856,0.5200388193130493,0.5082600176334381,0.5077406823635101,5,전북특별자치도 익산시 삼기면 진북로 294-18,A02,A0202,A02020600,0,0,0,0,전북특별자치도,익산시
6,6,RI온천(RI온천호텔),0.5530746281147003,0.6562467485666275,0.6530520915985107,0.6397619813680648,6,충청북도 충주시 수안보면 물탕2길 9,A02,A0202,A02020300,0,0,1,1,충청북도,충주시
7,7,SPA 1899 동인비,0.6005857586860657,0.7347695827484131,0.7113622009754181,0.6613922715187073,7,서울특별시 강남구 영동대로 416,A02,A0202,A02020300,1,0,0,0,서울특별시,강남구
8,8,UN조각공원,0.5654350258409977,0.6492837741971016,0.653534971177578,0.5861787758767605,8,부산광역시 남구 대연동,A02,A0202,A02020700,1,0,0,0,부산광역시,남구
9,9,W지우리조트,0.473834216594696,0.6034148097038269,0.5874591171741486,0.5681318879127503,9,경기도 가평군 가평읍 북한강변로 970-9,A02,A0202,A02020200,0,0,1,0,경기도,가평군
10,10,가곡유황온천&스파,0.5639796435832978,0.7023411810398101,0.6884835958480835,0.6284130454063416,10,강원특별자치도 삼척시 가곡면 탕곡리,A02,A0202,A02020300,1,0,1,0,강원특별자치도,삼척시
11,11,가막들공원,0.0,0.0,0.0,0.0,11,경기도 의왕시 양지편로 41-2,A02,A0202,A02020700,0,0,0,0,경기도,의왕시
12,12,가야산역사신화테마관,0.6054948767026266,0.6952263116836548,0.7323677738507589,0.6346492369969686,12,경상북도 성주군 수륜면 가야산식물원길 21,A02,A0202,A02020700,0,0,0,0,경상북도,성주군
13,13,가오실공원,0.2782902419567108,0.4131240248680115,0.3921250104904175,0.4875892996788025,13,경상북도 예천군 개포면 가곡리,A02,A0202,A02020700,0,0,0,0,경상북도,예천군
