,Unnamed: 0_x,name,혼자,액티비티,자연,힐링,Unnamed: 0_y,addr1,cat1,cat2,cat3,힐링_int,혼자_int,자연_int,액티비티_int,province,city
0,0,12월의왈츠펜션,0.5414829850196838,0.7121514678001404,0.6680589914321899,0.5926492810249329,0,강원특별자치도 평창군 대관령면 차항길 162-34,B02,B0201,B02010700,0,0,0,1,강원특별자치도,평창군
1,1,133파티룸 한옥스테이점,0.5225118517875671,0.6688725531101227,0.6225854754447937,0.586509907245636,1,경기도 수원시 팔달구 정조로795번길 10 (팔달로2가),B02,B0201,B02011600,0,0,0,1,경기도,수원시
2,2,24게스트하우스 경희대점,0.513794669508934,0.6881051778793335,0.6387496650218963,0.5907166004180908,2,"18, Hoegi-ro 29-gil, Dongdaemun-gu, Seoul",B02,B0201,B02011100,0,0,0,0,"18,",Hoegi-ro
3,3,24게스트하우스 서울역점,0.5381475299596786,0.6659930229187012,0.6605551481246948,0.6126978039741516,3,서울특별시 용산구 후암로57길 41,B02,B0201,B02010900,0,0,0,0,서울특별시,용산구
4,4,2월 호텔 더시그니처 동성로점,0.5558671802282333,0.6778685510158539,0.6713420331478119,0.6294744372367859,4,대구광역시 중구 동일동,B02,B0201,B02010100,0,0,0,1,대구광역시,중구
5,5,B-STAY 부천호텔,0.5786276414990426,0.5913631796836853,0.6304073989391327,0.6605132699012757,5,경기도 부천시 길주로 131,B02,B0201,B02010100,0,0,0,0,경기도,부천시
6,6,BK호텔제주,0.6093393236398696,0.707494705915451,0.7068019092082978,0.6806075215339661,6,제주특별자치도 서귀포시 칠십리로91번길 12 (서귀동),B02,B0201,B02010100,0,0,1,0,제주특별자치도,서귀포시
7,7,Dune45호텔,0.6123589873313904,0.6384519934654236,0.7370209097862244,0.8674167394638062,7,경기도 수원시 팔달구 권광로175번길 31-4,B02,B0201,B02010900,0,0,0,0,경기도,수원시
8,8,H호텔 세종시티,0.5904275894165039,0.64446662068367,0.6821774899959564,0.7073506295681,8,충청북도 청주시 흥덕구 오송생명로 178,B02,B0201,B02010100,0,0,1,0,충청북도,청주시
9,9,K-그랜드 호스텔 강남 1(K-GRAND HOSTEL GANGNAM1),0.5258470565080643,0.6350826352834702,0.6238860011100769,0.5855859518051147,9,서울특별시 강남구 강남대로112길 11,B02,B0201,B02011100,0,0,0,0,서울특별시,강남구
10,10,MJ리조트,0.5828108668327332,0.6991630673408509,0.6690319836139679,0.6117863595485687,10,제주특별자치도 제주시 구좌읍 해맞이해안로 1651,B02,B0201,B02010500,1,0,1,1,제주특별자치도,제주시
