,name,addr1,cat1,cat2,cat3,힐링_int,혼자_int,자연_int,액티비티_int,province,city
0,24시 마린낚시(전곡항 24 마린낚시),경기도 화성시 서신면 전곡항로 317,A03,A0303,A03030600,0,0,0,0,경기도,화성시
1,EVO수영장,경기도 안산시 단원구 초지동,A03,A0303,A03030700,1,0,1,1,경기도,안산시
2,K-26,경기도 가평군 청평면 고재길 262-57,A03,A0303,A03030400,0,0,1,0,경기도,가평군
3,K3바다낚시터,경기도 안산시 단원구 작은상재미길 86,A03,A0303,A03030600,0,0,0,0,경기도,안산시
4,M1971요트투어,제주특별자치도 서귀포시 대정읍 하모리 646-20,A03,A0303,A03030300,1,0,1,0,제주특별자치도,서귀포시
5,가평빠지 클럽비발디 수상레저,경기도 가평군 가평읍 금대리,A03,A0303,A03030700,0,0,0,0,경기도,가평군
6,강화도 황청낚시터,인천광역시 강화군 내가면 황청포구로443번길 82,A03,A0303,A03030500,0,0,0,0,인천광역시,강화군
7,거청낚시터,경기도 안성시 대덕면 배꽃길 16,A03,A0303,A03030500,0,0,0,0,경기도,안성시
8,고덕사회체육센터(실내수영장),서울특별시 강동구 구천면로93길 12,A03,A0303,A03030700,1,0,0,1,서울특별시,강동구
9,골든블루마리나,서울특별시 서초구 올림픽대로 2085-14,A03,A0303,A03030300,0,0,1,1,서울특별시,서초구
10,과림낚시터,경기도 시흥시 과림저수지길 79,A03,A0303,A03030500,0,0,0,0,경기도,시흥시
11,광탄낚시레저타운,경기도 파주시 광탄면 부흥로 194-42,A03,A0303,A03030500,0,0,0,0,경기도,파주시
12,귀덕바다투명카약,제주특별자치도 제주시 한림읍 귀덕9길 4,A03,A0303,A03030200,1,0,1,0,제주특별자치도,제주시
13,그랜드 워커힐 리버파크(야외수영장),서울특별시 광진구 워커힐로 177,A03,A0303,A03030700,0,0,0,0,서울특별시,광진구
14,금원수목원수영장,경기도 광주시 남종면 삼성리,A03,A0303,A03030700,0,0,1,0,경기도,광주시
15,길명낚시공원,경기도 포천시 일동면 영일로 316,A03,A0303,A03030500,0,0,0,0,경기도,포천시
16,길정 낚시터,인천광역시 강화군 양도면 고려왕릉로 209,A03,A0303,A03030500,0,0,0,0,인천광역시,강화군
17,김녕요트투어,제주특별자치도 제주시 구좌읍 구좌해안로 229-16,A03,A0303,A03030300,1,0,1,1,제주특별자치도,제주시
18,김포스포츠센터(실내수영장),경기도 김포시 봉화로181번길 31-20,A03,A0303,A03030700,0,0,0,0,경기도,김포시
19,난지한강공원물놀이장,서울특별시 마포구 한강난지로 162 (상암동),A03,A0303,A03030700,0,0,1,0,서울특별시,마포구
20,남창낚시터(남창지),충청남도 천안시 서북구 성거읍 보명사길 62,A03,A0303,A03030500,0,0,0,0,충청남도,천안시
21,남한강수상스키장,경기도 양평군 옥천면 남한강변길 274-1,A03,A0303,A03030100,0,0,0,0,경기도,양평군
22,노진낚시터,경기도 화성시 장안면 남양황라로 188-55,A03,A0303,A03030500,0,0,0,0,경기도,화성시
23,다이브라이프,서울특별시 서초구 반포대로20길 27,A03,A0303,A03030400,0,0,1,0,서울특별시,서초구
24,대동 낚시터,충청남도 아산시 음봉면 음봉로337번길 7-75,A03,A0303,A03030500,0,0,0,0,충청남도,아산시
25,대석낚시터,경기도 양평군 강상면 강남로 1811,A03,A0303,A03030500,0,0,0,0,경기도,양평군
26,더 초리골,경기도 파주시 법원읍 초리골길 284-16,A03,A0303,A03030700,1,0,1,1,경기도,파주시
27,더시크릿수상레저,경기도 남양주시 화도읍 경춘로 2630,A03,A0303,A03030100,0,0,0,0,경기도,남양주시
28,덕봉낚시터,경기도 안성시 양성면 덕봉서원로 601-76,A03,A0303,A03030500,0,0,0,0,경기도,안성시
29,덕송지 수상 풍차 낚시터,충청남도 서산시 팔봉면 한재무두리1길 5-22,A03,A0303,A03030500,0,0,0,0,충청남도,서산시
30,도농한강공원물놀이장,경기도 남양주시 다산동,A03,A0303,A03030700,0,0,1,0,경기도,남양주시
31,도시바다낚시터,경기도 고양시 덕양구 고골길116번길 14-67,A03,A0303,A03030600,0,0,0,0,경기도,고양시
32,독도 바다낚시터,경기도 안산시 단원구 대부북동 642-171,A03,A0303,A03030600,0,0,0,0,경기도,안산시
33,돌고래수상리조트,경기도 가평군 설악면 유명로 2418,A03,A0303,A03030100,0,0,0,0,경기도,가평군
34,동검레저바다낚시,인천광역시 강화군 길상면 동검길65번길 93-6,A03,A0303,A03030600,0,0,0,0,인천광역시,강화군
35,등대바다낚시터,경기도 안산시 단원구 금당구지길 91,A03,A0303,A03030600,0,0,0,0,경기도,안산시
36,레인보우 서프,충청남도 태안군 소원면 만리포2길 182,A03,A0303,A03030100,1,1,1,1,충청남도,태안군
37,롱비치 서프스쿨,강원특별자치도 양양군 현남면 갯마을길 42-20,A03,A0303,A03030100,0,0,0,0,강원특별자치도,양양군
38,리버포인트 수상레저,경기도 가평군 청평면 호반로 474,A03,A0303,A03030100,0,0,1,0,경기도,가평군
39,마정 낚시터 (마정지 낚시터),충청남도 천안시 서북구 직산읍 금곡로 176,A03,A0303,A03030500,0,0,0,0,충청남도,천안시
40,만정민트바다낚시터,인천광역시 중구 영종순환로 279-20,A03,A0303,A03030600,0,0,0,0,인천광역시,중구
41,만정바다좌대낚시터,인천광역시 중구 영종순환로 279-20,A03,A0303,A03030600,0,0,0,0,인천광역시,중구
42,만정사계절바다낚시터,인천광역시 중구 영종순환로 279-20,A03,A0303,A03030600,0,0,0,0,인천광역시,중구
43,말봉바다낚시터,경기도 안산시 단원구 부흥로 397,A03,A0303,A03030600,0,0,0,1,경기도,안산시
44,문서프,제주특별자치도 제주시 애월읍 곽지7길 1,A03,A0303,A03030100,0,0,1,0,제주특별자치도,제주시
45,미란다 스파플러스,경기도 이천시 중리천로115번길 45,A03,A0303,A03030700,1,0,0,0,경기도,이천시
46,바하마수상레포츠,경기도 가평군 설악면 유명로 2526,A03,A0303,A03030100,0,0,0,0,경기도,가평군
47,배다골테마파크수영장,경기도 고양시 덕양구 배다골길 131 (화정동),A03,A0303,A03030700,0,0,1,1,경기도,고양시
48,보성비봉마리나,전라남도 보성군 득량면 공룡로 822-74,A03,A0303,A03030800,1,0,1,0,전라남도,보성군
49,봉재낚시터,충청남도 아산시 둔포면 충무로 1258-32,A03,A0303,A03030500,0,0,0,0,충청남도,아산시
50,부산요트투어 3355마린,부산광역시 해운대구 해운대해변로 84,A03,A0303,A03030300,0,0,1,1,부산광역시,해운대구
51,북한산천연옥워터파크,경기도 고양시 덕양구 북한산로 591-37 (효자동),A03,A0303,A03030700,1,0,1,1,경기도,고양시
52,빠지에빠지다수상레저,강원특별자치도 춘천시 남산면 방하로 567,A03,A0303,A03030800,0,0,0,0,강원특별자치도,춘천시
53,삼막곡낚시터,경기도 용인시 기흥구 신정로301번길 59,A03,A0303,A03030500,0,0,0,0,경기도,용인시
54,삼인낚시터,경기도 용인시 처인구 남사읍 삼인로 150,A03,A0303,A03030500,0,0,0,0,경기도,용인시
55,상덕낚시터,경기도 용인시 처인구 이동읍 서리 816-2,A03,A0303,A03030500,0,0,0,0,경기도,용인시
56,상상낚시터,경상남도 거제시 일운면 지세포해안로 242,A03,A0303,A03030500,0,0,0,0,경상남도,거제시
