,code,subcategory
0,A01010100,국립공원
1,A01010200,도립공원
2,A01010300,군립공원
3,A01010400,산
4,A01010500,자연생태관광지
5,A01010600,자연휴양림
6,A01010700,수목원
7,A01010800,폭포
8,A01010900,계곡
9,A01011000,약수터
10,A01011100,해안절경
11,A01011200,해수욕장
12,A01011300,섬
13,A01011400,항구/포구
14,A01011600,등대
15,A01011700,호수
16,A01011800,강
17,A01011900,동굴
18,A01020100,희귀동.식물
19,A01020200,기암괴석
20,A02010100,고궁
21,A02010200,성
22,A02010300,문
23,A02010400,고택
24,A02010500,생가
25,A02010600,민속마을
26,A02010700,유적지/사적지
27,A02010800,사찰
28,A02010900,종교성지
29,A02011000,안보관광
30,A02020200,관광단지
31,A02020300,온천/욕장/스파
32,A02020400,이색찜질방
33,A02020500,헬스투어
34,A02020600,테마공원
35,A02020700,공원
36,A02020800,유람선/잠수함관광
37,A02030100,농.산.어촌 체험
38,A02030200,전통체험
39,A02030300,산사체험
40,A02030400,이색체험
41,A02030600,이색거리
42,A02040400,발전소
43,A02040600,식음료
44,A02040800,기타
45,A02040900,전자-반도체
46,A02041000,자동차
47,A02050100,다리/대교
48,A02050200,기념탑/기념비/전망대
49,A02050300,분수
50,A02050400,동상
51,A02050500,터널
52,A02050600,유명건물
53,A02060100,박물관
54,A02060200,기념관
55,A02060300,전시관
56,A02060400,컨벤션센터
57,A02060500,미술관/화랑
58,A02060600,공연장
59,A02060700,문화원
60,A02060800,외국문화원
61,A02060900,도서관
62,A02061000,대형서점
63,A02061100,문화전수시설
64,A02061200,영화관
65,A02061300,어학당
66,A02061400,학교
67,A02070100,문화관광축제
68,A02070200,일반축제
69,A02080100,전통공연
70,A02080200,연극
71,A02080300,뮤지컬
72,A02080400,오페라
73,A02080500,전시회
74,A02080600,박람회
75,A02080800,무용
76,A02080900,클래식음악회
77,A02081000,대중콘서트
78,A02081100,영화
79,A02081200,스포츠경기
80,A02081300,기타행사
81,C01120001,가족코스
82,C01130001,나홀로코스
83,C01140001,힐링코스
84,C01150001,도보코스
85,C01160001,캠핑코스
86,C01170001,맛코스
87,A03010200,수상레포츠
88,A03010300,항공레포츠
89,A03020200,수련시설
90,A03020300,경기장
91,A03020400,인라인(실내 인라인 포함)
92,A03020500,자전거하이킹
93,A03020600,카트
94,A03020700,골프
95,A03020800,경마
96,A03020900,경륜
97,A03021000,카지노
98,A03021100,승마
99,A03021200,스키/스노보드
100,A03021300,스케이트
101,A03021400,썰매장
102,A03021500,수렵장
103,A03021600,사격장
104,A03021700,"야영장,오토캠핑장"
105,A03021800,암벽등반
106,A03022000,서바이벌게임
107,A03022100,ATV
108,A03022200,MTB
109,A03022300,오프로드
110,A03022400,번지점프
111,A03022600,스키(보드) 렌탈샵
112,A03022700,트래킹
113,A03030100,윈드서핑/제트스키
114,A03030200,카약/카누
115,A03030300,요트
116,A03030400,스노쿨링/스킨스쿠버다이빙
117,A03030500,민물낚시
118,A03030600,바다낚시
119,A03030700,수영
120,A03030800,래프팅
121,A03040100,스카이다이빙
122,A03040200,초경량비행
123,A03040300,헹글라이딩/패러글라이딩
124,A03040400,열기구
125,A03050100,복합 레포츠
126,B02010100,관광호텔
127,B02010500,콘도미니엄
128,B02010600,유스호스텔
129,B02010700,펜션
130,B02010900,모텔
131,B02011000,민박
132,B02011100,게스트하우스
133,B02011200,홈스테이
134,B02011300,서비스드레지던스
135,B02011600,한옥
136,A04010100,5일장
137,A04010200,상설시장
138,A04010300,백화점
139,A04010400,면세점
140,A04010500,대형마트
141,A04010600,전문매장/상가
142,A04010700,공예/공방
143,A04010900,특산물판매점
144,A04011000,사후면세점
145,A05020100,한식
146,A05020200,서양식
147,A05020300,일식
148,A05020400,중식
149,A05020700,이색음식점
150,A05020900,카페/전통찻집
151,A05021000,클럽
