,name,review,words,힐링,혼자,자연,액티비티,addr1,cat1,cat2,cat3
0,(주)퀵실버록시 강릉점,"여긴 직원언니때문에 가는것같애옄ㅋ
너무 친절하시구 추천도 잘해주세요
아들생일선물로 스키복사러갔는데 친절하신 사장님덕분에 기분좋게 쇼핑했네요~담에또갈께요^^
강릉에 퀵실버가 있다니..
물건들이 다양하고. 세일도 많이 하고..
특히 사장님 직원분 너무 친절하게 해주셔서
좋은 가격으로 좋은 제품 사가지고 갑니다..
다음에 또 놀러 올게요^^
너무비싸고 팔려고만하는것같아요

직원분들 친절한건 한번가본사람은 다알듯
옷도 다양하고 할인행사하는게
많아서 자주가게되는곳
퀵실버 제품 좋아요!
굳👍
굳👍
굿
반바지 맘에 들어요
친절하시고 보드숏 잘샀어요^^",쇼핑 담 애옄 선물 스키 강릉 기분 아들 추천 물건 숏 보드 반바지 굿 맘 직원 사장 또 퀵실버 제품 제품 직원 옷 사람 가격 번가 다음 할인 자주 행사,X,X,X,X,강원특별자치도 강릉시 곶감전길 4 (성남동),A04,A0401,A04011000
1,1LDK SEOUL 청담,"긔여운 컵 샀어요
예쁜거 많아요

매장이 깔금하고 좋아요~~
예쁜게 많아요
십화점 굿뜨 골프점퍼 샀는데 맴쏙
좋아요
좋아요
좋아요
좋아요",골프 화점 여운 매장 금 굿 점퍼 맴쏙 긔 컵 컵 점퍼 맴쏙 굿 긔 금 매장 화점 여운 골프 컵 긔 맴쏙 굿 점퍼 금 매장 여운 화점 골프,X,X,X,X,서울특별시 강남구 선릉로162길 5(청담동),A04,A0401,A04011000
2,3CE 롯데안산,"좋아요
굿
친절해요
친절해요~ 굿굿
좋아요 
굿
좋아요
굿
직원분도 친절하시고 종류도 다양해서 좋아요~
ㅇ",굿 직원 종류 굿굿 종류 직원 굿굿 굿 굿굿 종류 직원 굿,X,X,X,X,경기도 안산시 단원구 고잔1길 12,A04,A0401,A04011000
3,4CUS 롯데 영등포점,"괜찮은 디자인 옷이 많고 부담없는 가격이라 좋아요
가격이 착해요
강추
좋어요
굿
굿 친절해요👍
좋아요
저렴하고 예쁜게 많아요~~^^
ㅇ
품질이 좋고 예뻐요",굿 가격 강추 품질 디자인 부담 옷 옷 부담 디자인 품질 강추 가격 굿 옷 부담 품질 강추 디자인 굿 가격,X,X,X,X,서울특별시 영등포구 경인로 846,A04,A0401,A04011000
4,8번가위드팜약국,"좋아요 
복약지도를 잘해줘요
굿
평소에는 자차로 다녀서 집가는길 약국을 이용했는데 이번에는 버스를 타고 가서 버스정류장 앞에 있어서 방문했어요 ~
일반 약국과 달리 약간 카페가 있는곳에 약국이 있다보니 신기한데 접근성이 떨어지는 것 같아요
굿
약사가 바뀌었는지 아직 처음인지
약간 차갑네요
전에는 친절했는데
조금 아쉽네요
상담  잘해주세요~~

좋아요
좋아요",약국 이용 달리 약간 굿 처음 일반 접근성 앞 버스 약국 약간 굿 카페 이용 처음 평소 일반 상담 것 약국 굿 약간 상담 지도 약사 자 버스정류장 카페 이번,X,X,X,X,서울특별시 서대문구 성산로 515,A04,A0401,A04011000
5,ABC마트 GS광주충장로,"굿
좋아요
좋아요.
종류가많아요 
신발 종류도 다양하고, 편하게 착용할 수 있어서 좋았어요 바쁘신데 사이즈도 괜찮은지 물어봐주시고 직원분들이 다 친절하게 응대해주셔서 편하게 고를 수 있었어요💖
항상 애용합니다.

친절합니다
신발은 거의 여기에서만 사는 듯! 항상 여러가지 옷들과 신바들이 많아서 구경도 많이 감 가젤은 처음신어보는데 예쁜 것도 많더라구요.. 그 중에서도 이것을 픽~ 20퍼센트나 할인해서 개이득~! 잘 신을 게요! 직원도 친절함
매장이깔끔하고직원분들이전부다친절해요",신발 여기 듯 거의 굿 신 직원 종류 착용 수 직원 전부 매장 신 굿 신발 종류 데 착용 애용 것 항상 수 종류 가젤 감 구경 옷 픽 할인,X,X,X,X,광주광역시 동구 충장로 83,A04,A0401,A04011000
6,ABC마트 GS대전은행,"맘들어요 국굿
.
감사
굿

마감시간 가까워 졌는데도 재촉 안하시고 충분히 멀찍이 기다려주시고 직원분이 친절하시고 안내잘해주셔서 좋았어요! 

너무 맘들어요 이뻐요
친절해요 
직원분들 다 친절하시고 엄청 다양한 신발들이 있어서 구경하다가 구매했어요🙂 원하던 사이즈도 다 있어서 기다림 없이 착착 진행된 점이 정말 마음에 들었어요🫶🏻🫶🏻

아디다스이쁘네요
친절해요",국굿 맘 직원 마감 굿 찍 시간 감사 재촉 아디다스 직원 찍 재촉 굿 마감 감사 시간 맘 국굿 아디다스 맘 신발 착착 진행 점 마음 구매 구경 기다림 사이즈,X,X,X,X,대전광역시 중구 중앙로156번길 7,A04,A0401,A04011000
7,ABC마트 GS부산광복,"상품이 다양 합니다
매장넓고 신상도 많고 직원분들도 친절해요~
굿
갑작스런 할인에 지나가던 여행객은 감사합니다. 
직원분들이 다 친절하새료 
신발은 발 불푠해요 비추 
직원분들 친절하고 종류가 다양함
예쁜신발 구입 잘 했어요
좋아요
아식스 젤1130 재입고돼서 사러갓어요 굿~~
굿
좋아요",직원 굿 신발 불푠해 발 재 종류 료 젤 아식스 상품 다양 여행객 매장 신상 할인 굿 직원 어요 아식스 다양 상품 할인 여행객 매장 신상 굿 직원 구입 료,X,X,X,X,부산광역시 중구 광복중앙로 2,A04,A0401,A04011000
8,ABC마트 GS엔터식스안양,"좋아요 
직원분도 친절하고 신발도 마음에 들어요.
굿
종류가 다양해요
굿
아이들  새 운동화 구입
신상  2켤레 사서  할인받음
이벤트  포인트  할인더 받음
친절함
세일  ~~~
직원분 넘 친절해요~
좋습니다
매장 이용전 필독!!

남자 직원분 정말 무서웠습니다. 첫번째 신발 신어보고 두번째 신발 사이즈 있냐고 물어봤을때 저한테 “비교해보고 사실꺼죠?” 라고 말한뒤 신발을 가져왔습니다. 순간 저는 깜짝 놀랐습니다.. 저처럼 마음이 여리신분들은 이 매장을 이용하기 힘들것 같습니다…

마지막으로 저는 이런 사람들에게 이 매장을 추천합니다!

1.무시당하고도 기분좋게 돈을 사용할수 있는 분
2.강매를 당하고 싶은 분
3.신발을 딱 한번만 신고 구매 할수 있는 분
4.기억에 남을 서비스를 받고 싶으신 분


이 세가지 조건중에 하나라도 해당하시지 않는 분은 이 가게를 기분좋게 이용하기는 힘들것 같습니다.


신발 이뻐요.",신발 직원 비교 두번째 보고 말 사이즈 때 신어 뒤 굿 할인 직원 매장 이벤트 이용 운동화 필독 종류 일 분 이 저 이용 기분 매장 마음 강매 추천 사람,X,X,X,X,경기도 안양시 만안구 만안로 232,A04,A0401,A04011000
9,ABC마트 GS인천부평,"가볍고  편안한 신발 구매했습니다.
굿
좋아요
좋아요
마음에 드는 제품도 많고 친절합니다
감사합니다 
감사합니다
잔스포츠가방 세일해서 좋아요 
좋아요
굿",신발 구매 가방 스포츠 제품 잔 일해 마음 굿 굿 마음 잔 제품 스포츠 일해 가방 구매 신발 신발 구매 가방 일해 마음 제품 스포츠 잔 굿,X,X,X,X,"인천광역시 부평구 부평문화로66번길 17(부평동,1층,B1층)",A04,A0401,A04011000
